item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
부산 - 계 - -보통,Statistics,41.5,43.4,42.7,41.3,39.6,43.3,35.821,36.987,33.588
부산 - 계 - -약간 만족,Statistics,38.2,36.7,35.5,38.3,42.0,35.9,34.098,35.529,37.203
부산 - 계 - -약간 불만족,Statistics,4.3,3.7,3.3,3.4,3.0,3.3,2.434,2.703,4.467
부산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 남자 - -매우 만족,Statistics,17.5,16.9,20.0,17.5,15.8,19.2,28.392,24.15,26.179
부산 - 남자 - -매우 불만족,Statistics,0.7,0.5,0.2,0.8,0.5,0.5,0.633,0.717,0.867
부산 - 남자 - -보통,Statistics,39.8,43.0,41.3,39.6,37.6,40.0,34.115,38.158,31.388
부산 - 남자 - -약간 만족,Statistics,38.4,36.0,35.9,38.0,42.5,36.6,34.843,34.281,36.528
부산 - 남자 - -약간 불만족,Statistics,3.6,3.6,2.6,4.1,3.5,3.6,2.016,2.695,5.037
부산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 여자 - -매우 만족,Statistics,13.0,14.3,16.0,14.9,14.0,14.3,25.901,24.014,21.684
부산 - 여자 - -매우 불만족,Statistics,0.8,0.7,0.8,0.8,0.6,1.2,0.445,0.684,0.908
부산 - 여자 - -보통,Statistics,43.2,43.7,44.1,42.9,41.3,46.4,37.429,35.86,35.641
부산 - 여자 - -약간 만족,Statistics,38.0,37.4,35.1,38.6,41.6,35.1,33.396,36.73,37.833
부산 - 여자 - -약간 불만족,Statistics,5.0,3.8,4.0,2.8,2.5,2.9,2.828,2.711,3.934
부산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 계 - -매우 만족,Statistics,15.6,20.5,19.1,21.8,20.2,22.0,23.954,25.238,24.689
서울 - 계 - -매우 불만족,Statistics,0.6,0.6,0.4,0.7,0.9,0.5,0.619,0.54,0.773
서울 - 계 - -보통,Statistics,39.9,38.8,41.3,38.3,40.4,43.4,39.496,32.142,32.367
서울 - 계 - -약간 만족,Statistics,40.0,36.2,35.1,35.7,34.5,31.5,32.336,39.629,38.506
서울 - 계 - -약간 불만족,Statistics,4.0,3.9,4.0,3.5,4.0,2.5,3.595,2.451,3.664
서울 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 남자 - -매우 만족,Statistics,16.1,21.1,21.7,23.8,21.0,24.1,26.099,26.022,28.144
서울 - 남자 - -매우 불만족,Statistics,0.6,0.5,0.4,0.8,0.7,0.5,0.441,0.655,0.828
서울 - 남자 - -보통,Statistics,38.9,36.5,39.4,35.9,38.3,41.4,35.769,31.69,30.535
서울 - 남자 - -약간 만족,Statistics,40.9,38.0,35.0,36.4,36.3,32.0,34.46,39.287,37.178
서울 - 남자 - -약간 불만족,Statistics,3.6,3.9,3.6,3.1,3.7,2.1,3.233,2.346,3.315
서울 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 여자 - -매우 만족,Statistics,15.1,19.9,16.7,19.9,19.4,20.2,22.023,24.512,21.565
서울 - 여자 - -매우 불만족,Statistics,0.6,0.7,0.4,0.7,1.1,0.4,0.779,0.434,0.724
서울 - 여자 - -보통,Statistics,40.9,41.0,43.2,40.5,42.4,45.3,42.852,32.561,34.024
서울 - 여자 - -약간 만족,Statistics,39.1,34.4,35.3,35.1,32.8,31.1,30.424,39.945,39.708
서울 - 여자 - -약간 불만족,Statistics,4.4,3.9,4.4,3.8,4.3,3.0,3.922,2.548,3.98
서울 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
세종 - 계 - -매우 만족,Statistics,,,,,26.4,26.9,33.62,33.774,32.414
세종 - 계 - -매우 불만족,Statistics,,,,,0.6,0.1,,0.414,0.541
세종 - 계 - -보통,Statistics,,,,,29.4,32.6,32.534,26.553,24.986
세종 - 계 - -약간 만족,Statistics,,,,,40.7,38.9,31.846,36.963,38.759
세종 - 계 - -약간 불만족,Statistics,,,,,2.8,1.6,2.0,2.296,3.299
세종 - 계 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 남자 - -매우 만족,Statistics,,,,,27.1,29.7,39.194,34.975,33.98
세종 - 남자 - -매우 불만족,Statistics,,,,,0.7,,,0.255,0.333
세종 - 남자 - -보통,Statistics,,,,,27.9,30.4,26.837,27.936,21.838
세종 - 남자 - -약간 만족,Statistics,,,,,40.9,38.9,31.954,35.218,40.594
세종 - 남자 - -약간 불만족,Statistics,,,,,3.4,1.1,2.015,1.616,3.256
세종 - 남자 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 여자 - -매우 만족,Statistics,,,,,25.8,24.1,28.144,32.577,30.925
세종 - 여자 - -매우 불만족,Statistics,,,,,0.4,0.1,,0.572,0.74
세종 - 여자 - -보통,Statistics,,,,,31.0,34.7,38.13,25.175,27.98
세종 - 여자 - -약간 만족,Statistics,,,,,40.6,39.0,31.74,38.702,37.014
세종 - 여자 - -약간 불만족,Statistics,,,,,2.2,2.0,1.986,2.974,3.341
세종 - 여자 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
울산 - 계 - -매우 만족,Statistics,19.6,17.9,19.2,14.6,19.3,20.6,22.22,27.732,25.029
울산 - 계 - -매우 불만족,Statistics,0.5,1.0,0.7,0.5,0.4,0.2,0.618,0.716,1.119
울산 - 계 - -보통,Statistics,39.4,44.1,42.8,46.8,41.4,40.5,39.936,35.168,34.377
울산 - 계 - -약간 만족,Statistics,37.5,33.5,33.7,35.2,35.6,37.0,34.458,33.763,34.479
울산 - 계 - -약간 불만족,Statistics,3.0,3.5,3.7,3.0,3.3,1.8,2.769,2.621,4.995
울산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 남자 - -매우 만족,Statistics,21.7,19.4,20.8,14.1,21.6,20.8,22.622,30.69,27.658
울산 - 남자 - -매우 불만족,Statistics,0.4,1.0,0.5,0.6,0.4,0.2,0.684,0.644,1.172
울산 - 남자 - -보통,Statistics,35.8,42.3,41.6,46.0,39.4,39.6,39.303,33.682,32.96
울산 - 남자 - -약간 만족,Statistics,38.7,34.7,34.2,37.1,35.9,37.8,34.956,32.48,33.843
울산 - 남자 - -약간 불만족,Statistics,3.4,2.6,2.9,2.2,2.7,1.7,2.435,2.504,4.367
울산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 여자 - -매우 만족,Statistics,17.4,16.4,17.5,15.1,16.7,20.4,21.786,24.599,22.281
울산 - 여자 - -매우 불만족,Statistics,0.6,0.9,0.9,0.3,0.5,0.1,0.546,0.792,1.064
울산 - 여자 - -보통,Statistics,43.1,45.9,44.0,47.7,43.7,41.5,40.618,36.743,35.859
울산 - 여자 - -약간 만족,Statistics,36.3,32.3,33.1,33.1,35.2,36.2,33.921,35.121,35.145
울산 - 여자 - -약간 불만족,Statistics,2.6,4.5,4.5,3.9,4.0,1.8,3.128,2.744,5.651
울산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 계 - -매우 만족,Statistics,17.1,14.5,18.9,22.6,22.4,22.2,25.831,27.304,27.239
인천 - 계 - -매우 불만족,Statistics,0.5,0.8,1.1,0.8,1.1,0.7,1.033,0.548,0.885
인천 - 계 - -보통,Statistics,42.2,47.5,41.1,39.5,40.5,40.7,39.357,34.524,33.136
인천 - 계 - -약간 만족,Statistics,36.1,32.7,33.8,34.0,32.5,33.6,31.389,34.858,34.059
인천 - 계 - -약간 불만족,Statistics,4.0,4.6,5.1,3.1,3.5,2.8,2.39,2.766,4.681
인천 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 남자 - -매우 만족,Statistics,18.3,16.3,21.3,24.1,24.1,24.6,28.106,28.915,30.07
인천 - 남자 - -매우 불만족,Statistics,0.5,0.5,0.8,0.4,1.2,0.9,1.245,0.316,0.607
인천 - 남자 - -보통,Statistics,41.3,46.2,40.3,39.1,39.7,37.5,36.558,33.406,31.875
인천 - 남자 - -약간 만족,Statistics,36.6,33.7,32.8,33.8,31.3,35.3,31.967,34.845,33.497
인천 - 남자 - -약간 불만족,Statistics,3.3,3.3,4.9,2.6,3.8,1.7,2.125,2.518,3.951
인천 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 여자 - -매우 만족,Statistics,15.9,12.7,16.5,21.0,20.8,19.9,23.581,25.697,24.386
인천 - 여자 - -매우 불만족,Statistics,0.6,1.0,1.4,1.1,1.0,0.4,0.824,0.78,1.164
인천 - 여자 - -보통,Statistics,43.1,48.7,41.9,40.0,41.3,43.8,42.126,35.639,34.408
인천 - 여자 - -약간 만족,Statistics,35.7,31.7,34.9,34.3,33.7,32.0,30.818,34.87,34.625
인천 - 여자 - -약간 불만족,Statistics,4.8,5.8,5.3,3.6,3.2,3.9,2.652,3.014,5.416
인천 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - -매우 만족,Statistics,18.6,19.0,20.8,20.3,20.5,21.9,25.02,26.11,25.654
전국 - 계 - -매우 불만족,Statistics,0.6,0.5,0.7,0.8,0.8,0.5,0.544,0.542,0.785
전국 - 계 - -보통,Statistics,39.8,41.0,39.5,40.5,39.5,40.5,38.177,32.419,32.329
전국 - 계 - -약간 만족,Statistics,37.5,35.8,35.3,34.9,36.0,34.8,33.732,38.41,37.807
전국 - 계 - -약간 불만족,Statistics,3.5,3.7,3.6,3.5,3.3,2.4,2.527,2.518,3.425
전국 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 남자 - -매우 만족,Statistics,20.0,20.4,22.7,21.6,22.1,24.1,27.064,27.816,27.904
전국 - 남자 - -매우 불만족,Statistics,0.6,0.5,0.7,0.8,0.7,0.5,0.542,0.532,0.731
전국 - 남자 - -보통,Statistics,38.8,39.6,37.9,39.6,37.9,38.3,35.541,31.625,31.386
전국 - 남자 - -약간 만족,Statistics,37.7,36.2,35.5,35.0,36.1,34.9,34.395,37.729,37.036
전국 - 남자 - -약간 불만족,Statistics,3.0,3.3,3.2,3.1,3.0,2.2,2.458,2.298,2.944
전국 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 여자 - -매우 만족,Statistics,17.3,17.7,19.0,18.9,18.8,19.7,23.018,24.419,23.446
전국 - 여자 - -매우 불만족,Statistics,0.6,0.6,0.8,0.8,0.8,0.5,0.547,0.552,0.837
전국 - 여자 - -보통,Statistics,40.8,42.3,41.0,41.5,41.0,42.6,40.757,33.207,33.255
전국 - 여자 - -약간 만족,Statistics,37.3,35.4,35.2,34.9,35.9,34.7,33.083,39.085,38.564
전국 - 여자 - -약간 불만족,Statistics,4.0,4.0,4.0,3.9,3.6,2.5,2.595,2.737,3.898
전국 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 계 - -매우 만족,Statistics,23.6,23.0,24.6,23.0,21.9,26.5,27.257,27.58,23.969
전남 - 계 - -매우 불만족,Statistics,0.4,0.3,0.5,0.5,0.5,0.5,0.472,0.565,0.578
전남 - 계 - -보통,Statistics,38.3,33.5,36.0,35.0,39.6,32.1,33.239,30.613,36.57
전남 - 계 - -약간 만족,Statistics,34.5,40.9,37.1,39.3,35.7,39.1,37.704,39.405,35.583
전남 - 계 - -약간 불만족,Statistics,3.2,2.3,1.8,2.2,2.4,1.8,1.328,1.837,3.301
전남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 남자 - -매우 만족,Statistics,25.6,24.4,26.5,21.6,23.3,30.0,29.235,29.383,23.675
전남 - 남자 - -매우 불만족,Statistics,0.5,0.2,0.1,0.3,0.3,0.6,0.517,0.559,0.754
전남 - 남자 - -보통,Statistics,36.0,34.0,35.9,36.3,40.3,30.3,31.455,29.979,36.815
전남 - 남자 - -약간 만족,Statistics,34.1,39.6,36.0,39.8,34.1,36.9,37.369,38.439,35.21
전남 - 남자 - -약간 불만족,Statistics,3.8,1.8,1.4,2.0,2.0,2.3,1.423,1.639,3.546
전남 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 여자 - -매우 만족,Statistics,21.7,21.6,22.7,24.3,20.4,23.1,25.252,25.728,24.268
전남 - 여자 - -매우 불만족,Statistics,0.3,0.4,1.0,0.6,0.6,0.3,0.426,0.57,0.398
전남 - 여자 - -보통,Statistics,40.5,33.1,36.1,33.7,38.9,33.9,35.045,31.263,36.32
전남 - 여자 - -약간 만족,Statistics,34.8,42.2,38.2,38.9,37.3,41.4,38.043,40.398,35.963
전남 - 여자 - -약간 불만족,Statistics,2.7,2.7,2.1,2.4,2.7,1.3,1.233,2.041,3.051
전남 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
