item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
대전 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 남자 - 매우 안전,Statistics,0.3,0.7,1.3,0.9,1.6,2.8,5.415,4.746,5.489
대전 - 남자 - 매우 안전하지 않음,Statistics,8.4,3.1,5.4,9.0,8.2,3.0,2.124,2.142,5.707
대전 - 남자 - 보통,Statistics,39.9,55.8,46.3,43.0,43.3,46.2,38.681,42.909,43.411
대전 - 남자 - 비교적 안전,Statistics,6.6,13.9,16.2,13.8,15.7,23.8,37.351,37.986,29.137
대전 - 남자 - 비교적 안전하지 않음,Statistics,44.7,26.5,30.8,33.3,31.2,24.1,16.429,12.217,16.255
대전 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 여자 - 매우 안전,Statistics,0.3,0.5,0.3,0.3,0.4,0.4,3.144,2.349,3.206
대전 - 여자 - 매우 안전하지 않음,Statistics,9.1,5.0,6.4,13.2,11.4,5.3,4.36,2.064,7.478
대전 - 여자 - 보통,Statistics,38.4,52.0,42.4,33.5,37.6,45.5,41.379,44.963,43.56
대전 - 여자 - 비교적 안전,Statistics,3.8,9.2,10.6,9.3,10.1,16.7,30.677,34.39,24.168
대전 - 여자 - 비교적 안전하지 않음,Statistics,48.5,33.2,40.3,43.6,40.4,32.2,20.441,16.234,21.587
부산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - 매우 안전,Statistics,0.6,0.5,0.9,0.7,2.2,2.4,3.827,4.279,3.658
부산 - 계 - 매우 안전하지 않음,Statistics,3.7,3.9,3.8,8.1,7.6,2.3,3.096,2.092,3.46
부산 - 계 - 보통,Statistics,42.6,54.8,50.9,46.6,42.5,54.9,41.804,43.058,44.012
부산 - 계 - 비교적 안전,Statistics,9.7,9.4,14.0,9.8,17.4,20.2,32.851,32.452,27.9
부산 - 계 - 비교적 안전하지 않음,Statistics,43.4,31.5,30.4,34.8,30.4,20.2,18.422,18.119,20.97
부산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 남자 - 매우 안전,Statistics,0.7,0.7,1.0,0.7,2.6,3.1,4.008,6.151,4.93
부산 - 남자 - 매우 안전하지 않음,Statistics,3.4,3.5,3.1,6.9,6.8,1.9,2.555,1.377,2.878
부산 - 남자 - 보통,Statistics,43.2,54.8,51.9,48.8,45.4,55.2,42.07,43.339,42.555
부산 - 남자 - 비교적 안전,Statistics,11.6,10.5,15.7,10.8,19.2,22.2,34.899,33.722,30.842
부산 - 남자 - 비교적 안전하지 않음,Statistics,41.2,30.6,28.4,32.8,26.0,17.7,16.468,15.412,18.795
부산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 여자 - 매우 안전,Statistics,0.6,0.2,0.7,0.6,1.8,1.7,3.656,2.481,2.464
부산 - 여자 - 매우 안전하지 않음,Statistics,4.0,4.3,4.5,9.2,8.3,2.8,3.607,2.779,4.005
부산 - 여자 - 보통,Statistics,42.0,54.8,50.0,44.6,39.7,54.7,41.552,42.788,45.379
부산 - 여자 - 비교적 안전,Statistics,8.0,8.2,12.4,8.8,15.7,18.3,30.921,31.233,25.142
부산 - 여자 - 비교적 안전하지 않음,Statistics,45.4,32.4,32.4,36.7,34.5,22.5,20.264,20.719,23.009
서울 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 계 - 매우 안전,Statistics,0.1,0.7,0.9,0.5,1.5,1.5,2.75,3.743,2.831
서울 - 계 - 매우 안전하지 않음,Statistics,5.4,3.7,5.8,12.9,11.2,3.2,2.894,2.078,3.119
서울 - 계 - 보통,Statistics,41.5,49.5,50.2,37.5,40.7,47.2,43.659,44.426,44.328
서울 - 계 - 비교적 안전,Statistics,9.2,13.6,13.7,9.4,12.7,23.0,29.094,32.329,28.656
서울 - 계 - 비교적 안전하지 않음,Statistics,43.8,32.6,29.4,39.8,34.0,25.1,21.603,17.425,21.066
서울 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 남자 - 매우 안전,Statistics,0.1,0.8,1.4,0.7,2.0,2.0,3.283,4.74,3.417
서울 - 남자 - 매우 안전하지 않음,Statistics,4.5,2.9,4.5,10.7,8.0,3.3,2.564,1.585,1.877
서울 - 남자 - 보통,Statistics,44.5,49.5,50.4,40.2,43.5,46.1,42.77,42.774,45.132
서울 - 남자 - 비교적 안전,Statistics,10.0,16.2,16.4,11.8,16.1,28.1,33.905,36.153,32.415
서울 - 남자 - 비교적 안전하지 않음,Statistics,40.8,30.5,27.3,36.6,30.5,20.5,17.479,14.749,17.159
서울 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 여자 - 매우 안전,Statistics,0.1,0.6,0.4,0.3,1.0,1.0,2.268,2.819,2.302
서울 - 여자 - 매우 안전하지 않음,Statistics,6.3,4.3,7.0,14.9,14.1,3.2,3.193,2.535,4.242
서울 - 여자 - 보통,Statistics,38.7,49.4,50.1,34.9,38.1,48.2,44.463,45.956,43.601
서울 - 여자 - 비교적 안전,Statistics,8.4,11.1,11.1,7.1,9.6,18.2,24.747,28.787,25.259
서울 - 여자 - 비교적 안전하지 않음,Statistics,46.5,34.6,31.4,42.8,37.3,29.3,25.329,19.903,24.596
세종 - 계 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 계 - 매우 안전,Statistics,,,,,0.9,1.7,5.598,4.535,4.027
