item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
관악구 - 교원수＜br＞(B),Statistics,4836.0,5045.0,5033.0,5102.0,5132.0,5147.0,5112.0,5117.0,4953.0,4860.0,4770.0,4712.0,4603.0,4485.0,4403.0,3895.0,3851.0
관악구 - 재적학생수＜br＞(A),Statistics,85425.0,81925.0,78072.0,74889.0,72490.0,70170.0,67809.0,65574.0,62980.0,60683.0,58993.0,56730.0,55105.0,53376.0,51743.0,49661.0,48442.0
광명시 - 교원1인당 학생수＜br＞(A÷B),Statistics,20.53,19.56,18.99,17.89,17.15,16.57,15.71,15.2,14.8,14.27,13.83,13.25,13.03,12.52,12.15,11.89,11.48
광명시 - 교원수＜br＞(B),Statistics,2561.0,2587.0,2673.0,2858.0,2950.0,3008.0,3108.0,3130.0,3102.0,3075.0,3035.0,3001.0,2888.0,2856.0,2840.0,2801.0,2785.0
광명시 - 재적학생수＜br＞(A),Statistics,52577.0,50608.0,50771.0,51140.0,50598.0,49856.0,48838.0,47579.0,45903.0,43890.0,41964.0,39772.0,37641.0,35771.0,34514.0,33299.0,31985.0
광산구 - 교원1인당 학생수＜br＞(A÷B),Statistics,24.21,23.19,22.67,21.17,20.05,19.51,18.65,17.99,17.47,16.88,16.54,16.17,15.87,15.58,15.2,14.7,14.4
광산구 - 교원수＜br＞(B),Statistics,3861.0,4060.0,4281.0,4635.0,4927.0,5071.0,5267.0,5394.0,5449.0,5490.0,5502.0,5475.0,5518.0,5492.0,5487.0,5454.0,5340.0
광산구 - 재적학생수＜br＞(A),Statistics,93458.0,94132.0,97053.0,98107.0,98786.0,98939.0,98239.0,97063.0,95207.0,92684.0,90981.0,88550.0,87583.0,85586.0,83424.0,80169.0,76879.0
광양시 - 교원1인당 학생수＜br＞(A÷B),Statistics,18.64,18.48,18.09,17.07,17.5,16.44,14.73,14.73,13.98,13.33,12.42,12.11,11.35,10.82,10.84,10.4,10.06
광양시 - 교원수＜br＞(B),Statistics,1772.0,1775.0,1766.0,1837.0,1752.0,1730.0,1813.0,1753.0,1734.0,1746.0,1801.0,1763.0,1789.0,1803.0,1726.0,1787.0,1821.0
광양시 - 재적학생수＜br＞(A),Statistics,33024.0,32804.0,31953.0,31361.0,30668.0,28447.0,26710.0,25819.0,24234.0,23270.0,22366.0,21343.0,20310.0,19517.0,18703.0,18583.0,18316.0
광주광역시 - 교원1인당 학생수＜br＞(A÷B),Statistics,24.09,23.46,22.8,21.34,20.09,19.43,18.75,18.15,17.66,17.16,16.7,16.36,16.04,15.59,15.37,14.81,14.63
광주광역시 - 교원수＜br＞(B),Statistics,16473.0,16757.0,17059.0,17958.0,18657.0,18927.0,19217.0,19408.0,19330.0,19324.0,19375.0,19159.0,19136.0,19171.0,18958.0,18939.0,18712.0
광주광역시 - 재적학생수＜br＞(A),Statistics,396877.0,393129.0,388865.0,383190.0,374847.0,367763.0,360384.0,352209.0,341377.0,331665.0,323605.0,313463.0,306891.0,298918.0,291331.0,280415.0,273668.0
광주시 - 교원1인당 학생수＜br＞(A÷B),Statistics,24.31,23.4,22.31,21.72,20.89,20.39,19.18,19.2,18.55,18.07,17.24,17.01,15.97,15.48,15.02,14.41,14.2
광주시 - 교원수＜br＞(B),Statistics,1730.0,1814.0,1885.0,1950.0,2036.0,2045.0,2179.0,2185.0,2246.0,2308.0,2482.0,2554.0,2724.0,2839.0,2909.0,3029.0,3089.0
광주시 - 재적학생수＜br＞(A),Statistics,42055.0,42440.0,42051.0,42360.0,42527.0,41706.0,41783.0,41955.0,41666.0,41695.0,42782.0,43455.0,43496.0,43960.0,43681.0,43657.0,43849.0
광진구 - 교원1인당 학생수＜br＞(A÷B),Statistics,25.7,25.45,25.02,24.4,23.79,23.05,21.71,21.01,20.77,20.33,19.91,19.95,20.16,20.21,19.98,20.33,20.03
광진구 - 교원수＜br＞(B),Statistics,3632.0,3598.0,3606.0,3604.0,3626.0,3665.0,3743.0,3746.0,3695.0,3698.0,3713.0,3654.0,3555.0,3486.0,3457.0,3359.0,3382.0
광진구 - 재적학생수＜br＞(A),Statistics,93342.0,91561.0,90237.0,87941.0,86273.0,84484.0,81279.0,78721.0,76732.0,75173.0,73913.0,72904.0,71684.0,70450.0,69065.0,68287.0,67737.0
괴산군 - 교원1인당 학생수＜br＞(A÷B),Statistics,9.23,8.75,9.18,9.73,11.01,11.95,12.83,13.84,14.29,15.02,14.91,14.97,15.09,14.07,13.27,12.58,11.91
괴산군 - 교원수＜br＞(B),Statistics,363.0,385.0,399.0,418.0,451.0,486.0,514.0,528.0,531.0,517.0,532.0,520.0,507.0,517.0,517.0,495.0,496.0
괴산군 - 재적학생수＜br＞(A),Statistics,3349.0,3369.0,3663.0,4069.0,4966.0,5806.0,6594.0,7310.0,7589.0,7763.0,7934.0,7784.0,7652.0,7273.0,6861.0,6228.0,5906.0
구례군 - 교원1인당 학생수＜br＞(A÷B),Statistics,10.57,9.94,10.26,10.05,9.69,9.11,8.88,8.5,8.25,8.1,7.32,6.71,6.53,6.29,6.0,5.76,5.37
구례군 - 교원수＜br＞(B),Statistics,310.0,316.0,291.0,290.0,291.0,297.0,298.0,302.0,301.0,291.0,298.0,305.0,302.0,302.0,308.0,303.0,311.0
구례군 - 재적학생수＜br＞(A),Statistics,3278.0,3140.0,2986.0,2915.0,2820.0,2706.0,2647.0,2567.0,2482.0,2358.0,2182.0,2048.0,1971.0,1900.0,1847.0,1746.0,1670.0
구로구 - 교원1인당 학생수＜br＞(A÷B),Statistics,22.18,21.25,20.47,19.98,19.37,18.64,18.24,17.68,17.11,16.75,16.33,15.86,15.37,15.11,14.89,14.62,14.54
구로구 - 교원수＜br＞(B),Statistics,3189.0,3255.0,3318.0,3328.0,3387.0,3411.0,3425.0,3443.0,3441.0,3405.0,3379.0,3394.0,3411.0,3380.0,3355.0,3345.0,3272.0
구로구 - 재적학생수＜br＞(A),Statistics,70734.0,69167.0,67925.0,66505.0,65602.0,63596.0,62489.0,60870.0,58892.0,57036.0,55177.0,53824.0,52444.0,51060.0,49968.0,48902.0,47566.0
구리시 - 교원1인당 학생수＜br＞(A÷B),Statistics,21.77,20.61,19.49,18.09,17.33,16.79,16.13,15.82,15.34,14.75,14.28,13.58,13.46,13.28,12.6,12.36,11.7
구리시 - 교원수＜br＞(B),Statistics,1676.0,1699.0,1715.0,1755.0,1742.0,1696.0,1672.0,1613.0,1596.0,1622.0,1635.0,1642.0,1587.0,1558.0,1568.0,1562.0,1592.0
구리시 - 재적학생수＜br＞(A),Statistics,36490.0,35024.0,33420.0,31756.0,30195.0,28484.0,26964.0,25516.0,24485.0,23931.0,23346.0,22302.0,21360.0,20697.0,19763.0,19301.0,18620.0
구미시 - 교원1인당 학생수＜br＞(A÷B),Statistics,22.71,21.85,21.47,20.23,20.14,19.37,18.55,17.88,17.47,16.97,16.45,15.94,15.36,14.97,14.55,14.37,14.13
구미시 - 교원수＜br＞(B),Statistics,4658.0,4787.0,4819.0,5078.0,5055.0,5187.0,5284.0,5372.0,5377.0,5402.0,5460.0,5462.0,5552.0,5607.0,5644.0,5570.0,5590.0
구미시 - 재적학생수＜br＞(A),Statistics,105760.0,104603.0,103448.0,102731.0,101807.0,100481.0,98037.0,96031.0,93919.0,91651.0,89791.0,87089.0,85268.0,83938.0,82114.0,80054.0,78976.0
군산시 - 교원1인당 학생수＜br＞(A÷B),Statistics,24.36,23.5,22.25,21.28,20.57,19.93,19.28,19.13,18.29,17.78,17.42,16.87,16.12,15.54,14.92,14.52,14.27
군산시 - 교원수＜br＞(B),Statistics,2979.0,3013.0,3090.0,3178.0,3221.0,3279.0,3338.0,3347.0,3396.0,3410.0,3376.0,3344.0,3386.0,3399.0,3457.0,3434.0,3398.0
군산시 - 재적학생수＜br＞(A),Statistics,72576.0,70814.0,68766.0,67612.0,66248.0,65357.0,64372.0,64022.0,62127.0,60631.0,58795.0,56419.0,54587.0,52817.0,51564.0,49856.0,48477.0
군위군 - 교원1인당 학생수＜br＞(A÷B),Statistics,7.36,7.72,7.44,6.86,7.11,6.92,6.83,6.78,6.42,6.31,5.79,5.49,5.48,5.17,5.27,4.7,4.3
군위군 - 교원수＜br＞(B),Statistics,262.0,243.0,235.0,241.0,221.0,214.0,205.0,198.0,200.0,196.0,203.0,208.0,203.0,202.0,194.0,201.0,206.0
군위군 - 재적학생수＜br＞(A),Statistics,1928.0,1876.0,1748.0,1653.0,1572.0,1480.0,1401.0,1343.0,1284.0,1236.0,1175.0,1141.0,1113.0,1045.0,1023.0,944.0,886.0
