item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
논산시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,443.0,440.0,454.0
논산시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,10569.0,10919.0,11598.0
단양군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.2,3.1,3.1
단양군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,97.0,96.0,99.0
단양군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,3015.0,3122.0,3185.0
달서구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.5,3.5,3.6
달서구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1499.0,1490.0,1528.0
달서구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,42931.0,42849.0,42679.0
달성군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.4,3.4,3.5
달성군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,597.0,616.0,646.0
달성군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,17314.0,18071.0,18710.0
담양군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.1,3.9,3.8
담양군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,156.0,158.0,162.0
담양군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,3800.0,4057.0,4279.0
당진시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.7,3.5,3.5
당진시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,460.0,453.0,465.0
당진시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,12584.0,12942.0,13475.0
대구광역시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,2.4,2.6,2.7,2.9,3.0,3.1,3.2,3.2,3.1,3.3,3.4,3.4,3.5
대구광역시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,4407.0,4624.0,4885.0,5267.0,5575.0,5939.0,6203.0,6397.0,6284.0,6806.0,7026.0,7100.0,7285.0
대구광역시 - 전산업 사업체수＜br＞(B),Statistics,179904.0,178629.0,178765.0,183115.0,188300.0,192599.0,195716.0,198762.0,200069.0,205318.0,209376.0,210547.0,210944.0
대덕구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.0,3.0,3.0
대덕구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,551.0,552.0,547.0
대덕구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,18165.0,18131.0,18189.0
대전광역시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,3.3,3.5,3.7,4.0,4.0,4.2,4.3,4.3,4.2,4.3,4.3,4.2,4.2
대전광역시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,3002.0,3212.0,3454.0,3830.0,4068.0,4391.0,4523.0,4715.0,4675.0,4900.0,4977.0,4964.0,4971.0
대전광역시 - 전산업 사업체수＜br＞(B),Statistics,91097.0,92548.0,93176.0,95650.0,100474.0,104609.0,105676.0,109535.0,111815.0,113228.0,115423.0,117557.0,119628.0
도봉구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.6,4.4,4.4
도봉구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,845.0,837.0,824.0
도봉구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,18351.0,18894.0,18628.0
동구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,2.6,2.6,2.9
동구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,361.0,367.0,398.0
동구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,13890.0,13880.0,13826.0
동대문구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.1,3.2,3.4
동대문구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1006.0,1031.0,1051.0
동대문구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,32411.0,31878.0,31324.0
동두천시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.1,4.8,4.8
동두천시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,323.0,313.0,318.0
동두천시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,6388.0,6568.0,6662.0
동래구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.7,3.9,4.1
동래구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,761.0,777.0,804.0
