item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
부안군 - 조혼인율 (천명당),Statistics,4.7,4.4,4.3,4.7,5.1,4.6,5.2,4.6,4.4,4.6,4.8,4.5,4.2,4.1,3.8,3.2,3.3,3.5,3.7,3.2,2.5,2.6,2.4,2.4
부여군 - 조혼인율 (천명당),Statistics,4.3,4.0,3.9,4.0,4.3,4.5,4.6,4.4,3.7,4.9,4.3,3.5,3.7,3.8,3.7,3.4,3.2,3.0,2.5,2.2,2.3,2.6,2.3,2.6
부천시 - 조혼인율 (천명당),Statistics,6.9,7.1,6.9,6.8,6.6,7.0,7.4,6.6,6.5,6.6,6.7,6.8,6.6,6.1,5.9,5.7,5.3,5.3,4.4,4.0,4.0,3.8,3.5,4.0
부평구 - 조혼인율 (천명당),Statistics,6.8,6.8,6.4,6.9,7.1,7.3,7.2,6.7,6.2,6.3,6.5,6.5,6.5,6.3,6.2,5.6,5.3,5.0,4.3,3.8,3.6,3.7,4.1,4.9
북구 - 조혼인율 (천명당),Statistics,5.6,5.8,5.5,5.4,5.3,5.3,5.5,5.3,4.8,5.5,5.4,6.0,6.1,5.1,5.4,5.4,4.5,4.2,3.7,3.6,3.4,3.5,3.1,3.4
북제주군 - 조혼인율 (천명당),Statistics,7.1,6.5,6.2,5.9,6.1,,,,,,,,,,,,,,,,,,,
분당구 - 조혼인율 (천명당),Statistics,6.8,6.8,6.8,7.1,7.0,7.0,7.3,6.7,7.1,7.4,7.4,7.5,7.1,7.2,6.8,6.3,5.5,5.3,4.4,4.2,3.5,4.0,3.7,4.5
사상구 - 조혼인율 (천명당),Statistics,6.5,5.9,5.9,5.9,5.8,6.1,6.4,6.1,5.8,6.6,6.6,6.5,6.5,5.8,5.8,5.2,4.8,4.5,3.9,3.4,3.5,3.0,3.2,3.8
사천시 - 조혼인율 (천명당),Statistics,6.0,5.7,5.6,5.8,6.1,6.5,6.9,6.6,6.0,6.5,6.3,5.9,6.2,5.8,5.3,4.8,4.9,4.6,3.8,3.8,3.4,3.2,3.7,3.7
사하구 - 조혼인율 (천명당),Statistics,6.1,5.6,5.5,5.5,5.4,5.8,6.5,6.2,5.7,6.4,6.5,6.2,6.4,5.6,5.3,5.2,5.1,4.6,4.2,3.5,3.1,3.3,2.8,3.2
