item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
거창군 - 무농약농산물 - 출하량,Statistics,1551.0,872.0,1561.4,1368.2,1710.74,1663.15,1511.24,1384.44,1096.11,1132.41
거창군 - 유기농산물 - 건수,Statistics,21.0,20.0,22.0,18.0,22.0,31.0,38.0,44.0,56.0,60.0
거창군 - 유기농산물 - 농가수,Statistics,22.0,21.0,22.0,18.0,22.0,31.0,38.0,44.0,56.0,60.0
거창군 - 유기농산물 - 면적,Statistics,103.0,101.0,81.2,78.2,95.32,158.19,201.43,215.56,249.76,259.79
거창군 - 유기농산물 - 출하량,Statistics,103.0,175.0,408.1,182.3,137.9,158.27,104.09,123.47,73.09,80.82
거창군 - 저농약농산물 - 건수,Statistics,31.0,,,,,,,,,
거창군 - 저농약농산물 - 농가수,Statistics,271.0,,,,,,,,,
거창군 - 저농약농산물 - 면적,Statistics,235.0,,,,,,,,,
거창군 - 저농약농산물 - 출하량,Statistics,1545.0,,,,,,,,,
경기 남양주시 - 계 - 건수,Statistics,270.0,268.0,239.0,212.0,204.0,207.0,187.0,163.0,153.0,146.0
경기 남양주시 - 계 - 농가수,Statistics,320.0,271.0,239.0,213.0,204.0,207.0,187.0,163.0,153.0,146.0
경기 남양주시 - 계 - 면적,Statistics,207.0,158.0,135.7,129.1,119.45,121.93,112.3,95.38,89.27,82.42
경기 남양주시 - 계 - 출하량,Statistics,1706.0,2517.0,1841.6,1375.5,1924.58,1041.71,1850.3,1253.75,1288.57,1088.33
경기 남양주시 - 무농약농산물 - 건수,Statistics,183.0,156.0,136.0,119.0,114.0,118.0,104.0,87.0,85.0,83.0
경기 남양주시 - 무농약농산물 - 농가수,Statistics,188.0,156.0,136.0,120.0,114.0,118.0,104.0,87.0,85.0,83.0
경기 남양주시 - 무농약농산물 - 면적,Statistics,112.0,90.0,80.0,71.9,65.72,67.61,60.67,47.93,47.16,42.1
경기 남양주시 - 무농약농산물 - 출하량,Statistics,774.0,1297.0,1210.9,931.8,1445.66,644.83,1503.62,893.1,1078.45,827.08
경기 남양주시 - 유기농산물 - 건수,Statistics,86.0,112.0,103.0,93.0,90.0,89.0,83.0,76.0,68.0,63.0
경기 남양주시 - 유기농산물 - 농가수,Statistics,115.0,115.0,103.0,93.0,90.0,89.0,83.0,76.0,68.0,63.0
경기 남양주시 - 유기농산물 - 면적,Statistics,74.0,68.0,55.7,57.2,53.73,54.32,51.63,47.45,42.11,40.32
경기 남양주시 - 유기농산물 - 출하량,Statistics,838.0,1220.0,630.7,443.7,478.93,396.88,346.68,360.65,210.11,261.25
경기 남양주시 - 저농약농산물 - 건수,Statistics,1.0,,,,,,,,,
경기 남양주시 - 저농약농산물 - 농가수,Statistics,17.0,,,,,,,,,
경기 남양주시 - 저농약농산물 - 면적,Statistics,21.0,,,,,,,,,
경기 남양주시 - 저농약농산물 - 출하량,Statistics,94.0,,,,,,,,,
경기 동두천시 - 계 - 건수,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0
경기 동두천시 - 계 - 농가수,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0
경기 동두천시 - 계 - 면적,Statistics,,,0.2,0.2,0.2,0.47,0.47,0.28,0.28,0.28
경기 동두천시 - 계 - 출하량,Statistics,121.0,,,60.8,48.8,40.8,,,,0.0
경기 동두천시 - 무농약농산물 - 건수,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0
경기 동두천시 - 무농약농산물 - 농가수,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0
경기 동두천시 - 무농약농산물 - 면적,Statistics,,,0.2,0.2,0.2,0.47,0.47,0.28,0.28,0.28
경기 동두천시 - 무농약농산물 - 출하량,Statistics,121.0,,,60.8,48.8,40.8,,,,0.0
경기 동두천시 - 유기농산물 - 건수,Statistics,,,,,,,,,,0.0
경기 동두천시 - 유기농산물 - 농가수,Statistics,,,,,,,,,,0.0
경기 동두천시 - 유기농산물 - 면적,Statistics,,,,,,,,,,0.0
경기 동두천시 - 유기농산물 - 출하량,Statistics,,,,,,,,,,0.0
경기 부천시 - 계 - 건수,Statistics,12.0,16.0,12.0,15.0,13.0,14.0,13.0,4.0,4.0,5.0
경기 부천시 - 계 - 농가수,Statistics,224.0,343.0,242.0,202.0,173.0,178.0,160.0,4.0,4.0,5.0
경기 부천시 - 계 - 면적,Statistics,71.0,111.0,79.0,64.3,55.05,54.89,49.63,0.09,,0.0
경기 부천시 - 계 - 출하량,Statistics,536.0,887.0,594.8,401.2,28.1,423.24,403.32,21.55,4.86,4.49
경기 부천시 - 무농약농산물 - 건수,Statistics,12.0,16.0,12.0,15.0,13.0,14.0,13.0,4.0,4.0,3.0
경기 부천시 - 무농약농산물 - 농가수,Statistics,224.0,343.0,242.0,202.0,173.0,178.0,160.0,4.0,4.0,3.0
경기 부천시 - 무농약농산물 - 면적,Statistics,71.0,111.0,79.0,64.3,55.05,54.89,49.63,0.09,,0.0
경기 부천시 - 무농약농산물 - 출하량,Statistics,536.0,887.0,594.8,401.2,28.1,423.24,403.32,21.55,4.86,3.84
경기 부천시 - 유기농산물 - 건수,Statistics,,,,,,,,,,2.0
경기 부천시 - 유기농산물 - 농가수,Statistics,,,,,,,,,,2.0
경기 부천시 - 유기농산물 - 면적,Statistics,,,,,,,,,,0.0
경기 부천시 - 유기농산물 - 출하량,Statistics,,,,,,,,,,0.65
경기 성남시 - 계 - 건수,Statistics,35.0,31.0,29.0,26.0,26.0,28.0,26.0,25.0,23.0,24.0
경기 성남시 - 계 - 농가수,Statistics,35.0,31.0,29.0,26.0,26.0,28.0,26.0,25.0,23.0,24.0
경기 성남시 - 계 - 면적,Statistics,17.0,13.0,12.0,12.8,12.65,12.85,12.81,12.25,12.26,11.58
경기 성남시 - 계 - 출하량,Statistics,814.0,1919.0,822.8,740.2,503.43,402.99,359.76,416.72,421.61,300.1
경기 성남시 - 무농약농산물 - 건수,Statistics,34.0,30.0,28.0,25.0,25.0,28.0,25.0,25.0,23.0,23.0
경기 성남시 - 무농약농산물 - 농가수,Statistics,34.0,30.0,28.0,25.0,25.0,28.0,25.0,25.0,23.0,23.0
경기 성남시 - 무농약농산물 - 면적,Statistics,16.0,13.0,12.0,12.8,12.65,12.85,12.81,12.25,12.26,11.58
경기 성남시 - 무농약농산물 - 출하량,Statistics,814.0,1918.0,822.8,740.2,503.43,402.99,355.78,416.72,421.61,300.1
경기 성남시 - 유기농산물 - 건수,Statistics,,1.0,1.0,1.0,1.0,,1.0,,,1.0
경기 성남시 - 유기농산물 - 농가수,Statistics,,1.0,1.0,1.0,1.0,,1.0,,,1.0
경기 성남시 - 유기농산물 - 면적,Statistics,,,,,,,,,,0.0
경기 성남시 - 유기농산물 - 출하량,Statistics,,1.0,,,,,3.98,,,0.0
경기 성남시 - 저농약농산물 - 건수,Statistics,1.0,,,,,,,,,
경기 성남시 - 저농약농산물 - 농가수,Statistics,1.0,,,,,,,,,
경기 성남시 - 저농약농산물 - 면적,Statistics,1.0,,,,,,,,,
경기 수원시 - 계 - 건수,Statistics,17.0,37.0,34.0,35.0,31.0,27.0,31.0,28.0,25.0,20.0
경기 수원시 - 계 - 농가수,Statistics,35.0,39.0,34.0,35.0,31.0,27.0,31.0,28.0,25.0,20.0
경기 수원시 - 계 - 면적,Statistics,10.0,12.0,11.1,9.7,9.01,9.88,10.84,9.3,6.13,5.57
경기 수원시 - 계 - 출하량,Statistics,485.0,461.0,253.1,230.7,204.32,171.44,183.53,156.3,165.04,193.13
경기 수원시 - 무농약농산물 - 건수,Statistics,12.0,33.0,29.0,33.0,29.0,26.0,29.0,26.0,23.0,18.0
경기 수원시 - 무농약농산물 - 농가수,Statistics,12.0,33.0,29.0,33.0,29.0,26.0,29.0,26.0,23.0,18.0
경기 수원시 - 무농약농산물 - 면적,Statistics,3.0,6.0,6.8,8.2,7.47,8.34,9.25,7.72,4.55,3.98
