item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
울산 - 계 - 모르겠음,Statistics,6.1,4.5,3.9,3.4,6.3,6.3,4.609,3.044,5.669
울산 - 계 - 별로효과없음,Statistics,22.6,16.7,20.7,19.0,21.5,20.1,14.031,15.909,13.465
울산 - 계 - 보통,Statistics,40.8,40.9,43.2,45.3,38.5,40.2,38.496,35.379,34.411
울산 - 계 - 약간효과있음,Statistics,19.7,27.1,24.2,23.1,23.0,23.3,29.289,30.408,30.096
울산 - 계 - 전혀효과없음,Statistics,6.3,5.5,4.2,4.4,4.5,5.2,4.946,3.788,5.019
울산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 남자 - 매우효과있음,Statistics,5.0,4.8,3.8,4.0,6.1,5.7,7.476,11.737,11.496
울산 - 남자 - 모르겠음,Statistics,4.9,2.7,3.2,1.9,4.4,4.8,3.996,1.714,3.982
울산 - 남자 - 별로효과없음,Statistics,23.5,17.5,21.6,20.5,22.8,20.5,15.333,14.724,13.112
울산 - 남자 - 보통,Statistics,39.8,42.4,43.0,46.4,39.6,41.2,41.385,36.088,34.926
울산 - 남자 - 약간효과있음,Statistics,19.3,27.0,24.6,21.7,22.5,22.5,26.143,31.602,30.41
울산 - 남자 - 전혀효과없음,Statistics,7.4,5.7,3.8,5.5,4.5,5.3,5.666,4.134,6.072
울산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 여자 - 매우효과있음,Statistics,3.8,5.8,3.9,5.8,6.3,4.3,9.873,11.193,11.174
울산 - 여자 - 모르겠음,Statistics,7.2,6.5,4.6,4.9,8.4,7.8,5.268,4.45,7.437
울산 - 여자 - 별로효과없음,Statistics,21.7,15.9,19.9,17.3,20.0,19.6,12.629,17.162,13.835
울산 - 여자 - 보통,Statistics,41.9,39.3,43.3,44.1,37.3,39.1,35.384,34.628,33.871
울산 - 여자 - 약간효과있음,Statistics,20.1,27.2,23.7,24.5,23.5,24.1,32.677,29.145,29.767
울산 - 여자 - 전혀효과없음,Statistics,5.2,5.3,4.5,3.3,4.5,5.1,4.17,3.423,3.915
인천 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 계 - 매우효과있음,Statistics,4.5,5.6,6.9,7.2,6.8,7.7,8.981,12.277,9.467
인천 - 계 - 모르겠음,Statistics,4.8,5.0,5.6,4.2,3.7,5.6,5.275,5.291,6.005
인천 - 계 - 별로효과없음,Statistics,21.5,17.9,17.5,16.2,16.7,20.5,15.616,12.787,12.025
인천 - 계 - 보통,Statistics,42.1,43.5,40.3,39.9,41.1,36.6,37.829,38.164,39.212
인천 - 계 - 약간효과있음,Statistics,21.9,22.6,25.0,26.9,27.0,24.1,27.628,28.186,28.735
인천 - 계 - 전혀효과없음,Statistics,5.1,5.3,4.8,5.5,4.7,5.5,4.67,3.296,4.556
인천 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 남자 - 매우효과있음,Statistics,4.3,5.5,7.2,7.1,6.3,7.5,7.138,12.072,10.414
인천 - 남자 - 모르겠음,Statistics,3.5,4.3,4.9,2.8,2.6,3.6,4.005,4.712,5.016
인천 - 남자 - 별로효과없음,Statistics,21.5,17.8,17.9,16.7,17.2,21.1,16.001,13.264,12.128
인천 - 남자 - 보통,Statistics,42.9,43.3,40.0,40.3,41.5,36.4,39.223,38.874,37.918
인천 - 남자 - 약간효과있음,Statistics,21.8,23.3,25.0,28.6,27.5,25.4,28.673,27.374,29.723
인천 - 남자 - 전혀효과없음,Statistics,6.0,5.8,5.0,4.6,5.0,6.1,4.961,3.705,4.802
인천 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 여자 - 매우효과있음,Statistics,4.7,5.7,6.6,7.4,7.3,7.8,10.807,12.482,8.512
인천 - 여자 - 모르겠음,Statistics,6.2,5.7,6.3,5.6,4.7,7.6,6.532,5.869,7.003
인천 - 여자 - 별로효과없음,Statistics,21.6,18.0,17.0,15.8,16.3,20.0,15.236,12.312,11.921
인천 - 여자 - 보통,Statistics,41.3,43.7,40.6,39.5,40.7,36.8,36.448,37.454,40.519
