item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
과천시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,4.4,4.9,5.0,4.8,4.3,4.2,4.2,4.2,4.2,4.3,4.3,4.4,4.7,5.2,5.2,5.1,4.7,4.1,3.8
과천시 - 주민등록인구＜br＞(B),Statistics,68333.0,60956.0,60482.0,62291.0,69477.0,72049.0,72279.0,71955.0,71068.0,70578.0,70156.0,68946.0,63778.0,57527.0,58142.0,58289.0,63231.0,73345.0,78137.0
관악구 - 사회복지시설수＜br＞(A),Statistics,6.0,6.0,6.0,7.0,20.0,27.0,35.0,37.0,42.0,42.0,43.0,45.0,45.0,42.0,44.0,46.0,46.0,43.0,42.0
관악구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.1,1.1,1.1,1.3,3.7,5.1,6.6,7.0,8.0,8.1,8.4,8.8,8.9,8.3,8.8,9.2,9.3,8.9,8.6
관악구 - 주민등록인구＜br＞(B),Statistics,530156.0,530020.0,535217.0,535571.0,534556.0,529869.0,531434.0,526397.0,523029.0,518028.0,513186.0,509663.0,506851.0,503297.0,501957.0,500094.0,495060.0,485699.0,486752.0
광명시 - 사회복지시설수＜br＞(A),Statistics,2.0,2.0,3.0,5.0,6.0,5.0,10.0,11.0,13.0,16.0,16.0,16.0,20.0,21.0,19.0,17.0,18.0,18.0,18.0
광명시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,0.6,0.6,1.0,1.6,1.9,1.6,2.9,3.1,3.7,4.5,4.6,4.6,5.9,6.3,5.8,5.4,6.0,6.1,6.3
광명시 - 주민등록인구＜br＞(B),Statistics,331419.0,327828.0,313372.0,313019.0,310501.0,314257.0,343982.0,355226.0,355560.0,353100.0,348560.0,344978.0,339484.0,332790.0,326841.0,316552.0,298599.0,292893.0,287945.0
광산구 - 사회복지시설수＜br＞(A),Statistics,5.0,7.0,9.0,11.0,18.0,26.0,31.0,34.0,34.0,36.0,36.0,36.0,36.0,37.0,37.0,38.0,37.0,47.0,63.0
광산구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.7,2.3,2.9,3.5,5.6,7.6,8.5,9.1,8.8,9.2,9.1,9.0,8.9,9.2,9.1,9.4,9.1,11.6,15.7
광산구 - 주민등록인구＜br＞(B),Statistics,296101.0,306989.0,311621.0,316101.0,320660.0,342936.0,363239.0,375509.0,385101.0,392875.0,397281.0,400753.0,403049.0,404131.0,404547.0,405315.0,405579.0,404221.0,400654.0
광양시 - 사회복지시설수＜br＞(A),Statistics,,,1.0,3.0,10.0,14.0,18.0,19.0,21.0,23.0,22.0,22.0,22.0,22.0,19.0,19.0,20.0,19.0,29.0
광양시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,,,0.7,2.2,7.1,9.8,12.4,12.6,13.9,15.2,14.5,14.3,14.1,14.1,12.1,12.1,13.2,12.6,19.1
