item,category,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
명주군 - 지가변동률,Statistics,0.49,4.74,0.93,5.24,1.43,1.39,-0.17,-0.55,,,,,,,,,,
목포시 - 지가변동률,Statistics,2.76,11.09,12.85,7.44,2.73,0.19,-0.05,0.11,0.23,0.15,0.22,-0.67,0.42,1.16,0.09,0.55,-0.32,0.12
무안군 - 지가변동률,Statistics,1.34,3.17,3.07,1.09,0.05,-0.1,-0.24,0.42,-0.41,0.27,0.41,0.16,1.65,2.4,1.37,0.2,0.24,0.27
무주군 - 지가변동률,Statistics,0.35,8.2,4.18,4.13,1.97,0.96,-0.01,0.2,0.1,0.52,0.06,-0.67,0.17,0.16,0.22,0.38,0.37,0.23
문경군 - 지가변동률,Statistics,0.39,3.36,5.54,2.11,0.96,0.54,-0.12,-0.18,,,,,,,,,,
문경시 - 지가변동률,Statistics,,,,,,,,,-0.03,-0.07,0.11,-0.12,0.33,0.57,0.15,0.09,-0.95,0.33
미금시 - 지가변동률,Statistics,,,22.57,6.77,4.2,2.97,-0.21,0.64,,,,,,,,,,
밀양군 - 지가변동률,Statistics,1.15,5.87,-3.98,3.07,1.4,0.37,-0.41,-0.09,,,,,,,,,,
밀양시 - 지가변동률,Statistics,,,8.13,2.81,1.52,0.42,-0.2,-0.18,0.04,0.18,0.21,-0.25,-0.63,0.74,0.44,0.89,0.09,1.09
보령군 - 지가변동률,Statistics,1.73,2.25,1.94,4.49,1.85,0.39,-0.71,-0.22,,,,,,,,,,
보령시 - 지가변동률,Statistics,,,,,,,,,-0.46,0.21,0.37,-0.1,0.55,0.57,0.36,0.7,0.34,0.75
보성군 - 지가변동률,Statistics,1.27,5.18,2.19,2.43,1.99,1.0,-0.18,-0.81,0.35,0.1,0.23,0.09,0.07,0.37,0.27,0.28,0.0,0.06
보은군 - 지가변동률,Statistics,1.24,3.56,4.89,4.37,0.86,1.2,0.08,-0.54,-0.06,0.06,0.2,0.22,1.53,0.24,0.04,-0.06,0.03,-0.02
봉화군 - 지가변동률,Statistics,0.47,6.22,0.13,0.77,0.11,0.04,-0.39,-0.31,-0.26,-0.09,0.23,0.01,0.69,0.65,0.53,0.78,-0.53,0.07
부산광역시 - 지가변동률,Statistics,,,,,,,,,-0.12,0.11,0.05,-2.23,0.35,0.43,0.05,0.89,0.3,0.3
부산진구 - 지가변동률,Statistics,,,,,,,,,-0.04,0.02,0.02,-2.24,0.2,0.51,0.3,0.26,0.16,0.16
부안군 - 지가변동률,Statistics,2.11,5.91,10.5,2.91,1.24,0.66,0.0,-0.24,0.22,0.57,0.2,-0.24,0.34,0.91,0.15,0.21,0.18,0.07
부여군 - 지가변동률,Statistics,0.88,2.47,3.82,4.64,1.55,-0.59,-0.17,-0.11,0.04,0.16,0.26,-0.12,0.03,0.73,0.27,-0.05,0.19,0.28
부천시 - 지가변동률,Statistics,1.73,5.85,21.15,6.68,3.63,1.02,0.0,-0.69,0.05,0.14,0.08,-0.75,-0.01,0.22,0.09,2.62,0.08,0.58
부천시 남구 - 지가변동률,Statistics,,5.71,24.56,6.4,3.52,1.25,,,,,,,,,,,,
부천시 중구 - 지가변동률,Statistics,,6.14,14.2,7.18,3.84,0.61,,,,,,,,,,,,
부평구 - 지가변동률,Statistics,,,,,,,,,0.0,0.05,-0.02,-0.4,0.3,0.37,0.1,2.05,0.25,1.42
북구 - 지가변동률,Statistics,,,,,,,,,-0.24,0.23,0.03,-2.35,0.09,0.39,-0.02,0.74,0.54,0.13
분당구 - 지가변동률,Statistics,,,,,,0.29,-0.98,-0.69,0.25,0.22,0.37,-2.71,0.34,0.02,0.47,2.11,1.86,4.03
