item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
연천군 - 농가인구,Statistics,10308.0,10096.0,9497.0,9000.0,8905.0,7668.0,7731.0,7415.0,7125.0,6989.0,6565.0,6584.0,6312.0,6109.0
영광군 - 농가인구,Statistics,14936.0,14719.0,15029.0,14561.0,12641.0,12707.0,13043.0,12371.0,12412.0,10468.0,12255.0,12170.0,12472.0,11288.0
영덕군 - 농가인구,Statistics,11031.0,10356.0,10280.0,9937.0,8910.0,9795.0,9265.0,8886.0,8365.0,6749.0,6793.0,6137.0,5971.0,5757.0
영동군 - 농가인구,Statistics,18049.0,17789.0,17443.0,16802.0,15806.0,15429.0,14716.0,14155.0,13954.0,12685.0,12786.0,12738.0,12550.0,12781.0
영암군 - 농가인구,Statistics,16741.0,16383.0,16604.0,16520.0,15394.0,15603.0,16134.0,16142.0,14766.0,13808.0,12554.0,14223.0,13229.0,12345.0
영양군 - 농가인구,Statistics,7816.0,7733.0,7503.0,7064.0,7154.0,6891.0,7107.0,6541.0,6389.0,5217.0,5565.0,5505.0,5384.0,5291.0
영월군 - 농가인구,Statistics,8527.0,8544.0,8144.0,8054.0,8091.0,8093.0,8217.0,8156.0,7743.0,6160.0,6820.0,6964.0,6915.0,6767.0
영주시 - 농가인구,Statistics,20486.0,19247.0,19769.0,18864.0,20589.0,18509.0,18576.0,17487.0,17363.0,17796.0,16493.0,16696.0,15746.0,14868.0
영천시 - 농가인구,Statistics,28721.0,26835.0,25942.0,24761.0,22584.0,22407.0,22355.0,21299.0,21064.0,18361.0,17104.0,16115.0,16053.0,15514.0
예산군 - 농가인구,Statistics,26587.0,26171.0,26420.0,24979.0,23744.0,24641.0,23743.0,22629.0,21210.0,20065.0,18838.0,17610.0,17023.0,16195.0
예천군 - 농가인구,Statistics,19460.0,20269.0,19748.0,19130.0,17318.0,17574.0,16690.0,16323.0,15984.0,14414.0,15391.0,15422.0,15179.0,13876.0
오산시 - 농가인구,Statistics,4001.0,4022.0,3844.0,3551.0,3672.0,3828.0,3686.0,3469.0,3379.0,4233.0,3555.0,3328.0,3019.0,2823.0
옥천군 - 농가인구,Statistics,17126.0,16179.0,15274.0,15147.0,13608.0,14459.0,13614.0,12915.0,12162.0,11283.0,10813.0,11209.0,10695.0,10815.0
옹진군 - 농가인구,Statistics,3099.0,3079.0,3156.0,3127.0,2958.0,2948.0,2840.0,2753.0,2773.0,2377.0,2780.0,2346.0,2290.0,2238.0
완도군 - 농가인구,Statistics,11496.0,11236.0,11311.0,10568.0,8312.0,8617.0,8144.0,7975.0,7628.0,7078.0,7673.0,6787.0,6284.0,6610.0
완주군 - 농가인구,Statistics,24556.0,23607.0,23066.0,22263.0,19156.0,16847.0,17352.0,17113.0,16059.0,16484.0,14716.0,15698.0,15329.0,14557.0
용인시 - 농가인구,Statistics,24408.0,25171.0,24819.0,23210.0,20807.0,18624.0,18019.0,16631.0,15224.0,19295.0,19022.0,19064.0,17700.0,17360.0
울릉군 - 농가인구,Statistics,1041.0,1040.0,1045.0,1020.0,965.0,978.0,1039.0,946.0,946.0,912.0,860.0,892.0,884.0,916.0
울산광역시 - 농가인구,Statistics,33154.0,32523.0,32114.0,29687.0,31228.0,31278.0,30577.0,28859.0,27208.0,36806.0,30584.0,29303.0,26902.0,27974.0
울산시부 - 농가인구,Statistics,12280.0,12242.0,12958.0,12168.0,13927.0,13136.0,13397.0,12350.0,11415.0,21218.0,16749.0,16424.0,14913.0,15608.0
울주군 - 농가인구,Statistics,20873.0,20281.0,19156.0,17519.0,17301.0,18142.0,17181.0,16509.0,15793.0,15588.0,13836.0,12879.0,11989.0,12367.0
울진군 - 농가인구,Statistics,10490.0,10608.0,10776.0,10444.0,9008.0,8942.0,9085.0,8032.0,8376.0,7491.0,8456.0,8058.0,8027.0,7557.0
원주시 - 농가인구,Statistics,24687.0,23270.0,23065.0,22234.0,22175.0,20465.0,19788.0,18540.0,17658.0,21336.0,21070.0,20342.0,19586.0,19099.0
음성군 - 농가인구,Statistics,17830.0,18494.0,18307.0,18149.0,16469.0,16733.0,15649.0,15507.0,15278.0,14291.0,14797.0,14257.0,14475.0,13349.0
의령군 - 농가인구,Statistics,11113.0,10319.0,10018.0,9238.0,8881.0,8876.0,7733.0,7417.0,7388.0,7004.0,7039.0,7813.0,7412.0,7038.0
의성군 - 농가인구,Statistics,26144.0,25716.0,25241.0,24550.0,22251.0,21815.0,20887.0,20731.0,19434.0,16803.0,17715.0,17365.0,15948.0,16306.0
의왕시 - 농가인구,Statistics,2659.0,2581.0,2614.0,2432.0,2431.0,1981.0,1969.0,1717.0,1525.0,2303.0,1752.0,1594.0,1623.0,1602.0
의정부시 - 농가인구,Statistics,3600.0,3468.0,3181.0,2944.0,3871.0,3405.0,3341.0,3052.0,2936.0,4003.0,3365.0,3133.0,2759.0,2705.0
이천시 - 농가인구,Statistics,27002.0,26613.0,25373.0,24584.0,22409.0,21188.0,20049.0,17437.0,16939.0,20607.0,19603.0,19701.0,19263.0,18139.0
익산시 - 농가인구,Statistics,32028.0,32386.0,29993.0,28719.0,25402.0,28863.0,26840.0,25589.0,25184.0,23398.0,21113.0,23145.0,21951.0,21300.0
인제군 - 농가인구,Statistics,7994.0,8191.0,7916.0,7328.0,7651.0,7135.0,6684.0,7137.0,6435.0,6166.0,6114.0,5626.0,5754.0,5674.0
인천광역시 - 농가인구,Statistics,36196.0,34760.0,32368.0,32089.0,32454.0,31226.0,29991.0,27642.0,27096.0,31828.0,28128.0,25757.0,24145.0,24480.0
인천시부 - 농가인구,Statistics,12766.0,11557.0,8935.0,9112.0,12000.0,11610.0,11037.0,9958.0,9216.0,14942.0,11823.0,10854.0,10154.0,9956.0
임실군 - 농가인구,Statistics,12111.0,12065.0,12129.0,11574.0,9974.0,9758.0,9621.0,9879.0,9311.0,8158.0,8981.0,6080.0,6502.0,6140.0
장성군 - 농가인구,Statistics,13310.0,13212.0,12680.0,12077.0,12692.0,11610.0,11585.0,11494.0,10973.0,11191.0,10515.0,12012.0,11615.0,10596.0
장수군 - 농가인구,Statistics,11282.0,11494.0,10985.0,10416.0,9658.0,9602.0,9150.0,8617.0,9192.0,8519.0,8815.0,6782.0,6315.0,5863.0
장흥군 - 농가인구,Statistics,14535.0,12803.0,12438.0,11539.0,11713.0,10376.0,10171.0,9736.0,9117.0,11547.0,10701.0,10737.0,10137.0,8997.0
전국 - 농가인구,Statistics,2962113.0,2911540.0,2847435.0,2751792.0,2569387.0,2496406.0,2422256.0,2314982.0,2244783.0,2314064.0,2215498.0,2165626.0,2088781.0,2003520.0
전라남도 - 농가인구,Statistics,379767.0,370614.0,370954.0,355601.0,318848.0,321395.0,315035.0,306365.0,297890.0,280060.0,290551.0,287223.0,278430.0,262957.0
전북특별자치도 - 농가인구,Statistics,259552.0,263112.0,258880.0,250581.0,227431.0,224661.0,214548.0,208600.0,204124.0,199157.0,188689.0,183295.0,179162.0,171859.0
전주시 - 농가인구,Statistics,19729.0,21538.0,25159.0,23844.0,20792.0,17901.0,17571.0,16138.0,15481.0,20756.0,17242.0,14030.0,15585.0,14806.0
정선군 - 농가인구,Statistics,9020.0,9198.0,8634.0,8358.0,7706.0,6842.0,6798.0,6395.0,6041.0,5545.0,4293.0,4148.0,4080.0,4096.0
정읍시 - 농가인구,Statistics,19079.0,19839.0,19417.0,19192.0,21129.0,22651.0,21965.0,21469.0,21521.0,20377.0,22239.0,21746.0,21497.0,20956.0
제주시 - 농가인구,Statistics,65476.0,66127.0,66994.0,64509.0,53649.0,53395.0,51242.0,48682.0,49830.0,47896.0,46149.0,43663.0,43244.0,40941.0
제주특별자치도 - 농가인구,Statistics,114062.0,113298.0,111745.0,109510.0,93404.0,88385.0,86463.0,82751.0,83133.0,79797.0,75548.0,74465.0,72985.0,68696.0
제천시 - 농가인구,Statistics,17449.0,16985.0,17049.0,17876.0,17353.0,17789.0,17331.0,16005.0,15577.0,14051.0,12695.0,13003.0,12543.0,11788.0
증평군 - 농가인구,Statistics,4352.0,4152.0,4012.0,3677.0,4017.0,3849.0,3548.0,3324.0,3196.0,3389.0,3274.0,3180.0,3094.0,2835.0
진도군 - 농가인구,Statistics,11701.0,12001.0,12392.0,11785.0,9085.0,9228.0,9210.0,8895.0,8720.0,7686.0,8616.0,8737.0,8498.0,8183.0
진안군 - 농가인구,Statistics,9928.0,9989.0,9665.0,8883.0,8546.0,8697.0,8008.0,7676.0,7511.0,6820.0,7117.0,6534.0,6459.0,6348.0
진주시 - 농가인구,Statistics,40352.0,39648.0,37984.0,37436.0,37443.0,33736.0,34230.0,32438.0,31857.0,30367.0,28545.0,28057.0,26560.0,25208.0
진천군 - 농가인구,Statistics,12749.0,13043.0,12115.0,11753.0,10909.0,11929.0,12242.0,11200.0,11346.0,7998.0,9499.0,9727.0,9650.0,9152.0
창녕군 - 농가인구,Statistics,17389.0,16953.0,15860.0,15442.0,16124.0,15486.0,14568.0,13796.0,13652.0,13464.0,12612.0,13923.0,13464.0,13283.0
창원시 - 농가인구,Statistics,26997.0,26408.0,27891.0,26970.0,27929.0,30498.0,28775.0,27315.0,26440.0,34349.0,33355.0,31624.0,29242.0,28533.0
천안시 - 농가인구,Statistics,34912.0,33207.0,33803.0,32240.0,31268.0,29257.0,29933.0,27799.0,27424.0,27245.0,22876.0,23159.0,22272.0,21433.0
철원군 - 농가인구,Statistics,11168.0,10456.0,10596.0,10010.0,10786.0,11426.0,10947.0,10245.0,10149.0,9260.0,8552.0,7977.0,7533.0,7239.0
청도군 - 농가인구,Statistics,16858.0,16984.0,16754.0,16197.0,15136.0,14690.0,15197.0,15115.0,14578.0,13649.0,11617.0,12749.0,12512.0,12407.0
청송군 - 농가인구,Statistics,10984.0,11679.0,11649.0,11440.0,10576.0,11663.0,11266.0,11037.0,10568.0,10243.0,10474.0,11034.0,10442.0,10349.0
청양군 - 농가인구,Statistics,13839.0,13698.0,13257.0,13026.0,14960.0,13354.0,12796.0,12264.0,12014.0,12933.0,11506.0,11279.0,11026.0,10520.0
청원군 - 농가인구,Statistics,32106.0,31400.0,29771.0,24611.0,,,,,,,,,,
