item,category,2020,2021,2022,2023
밀양시 - 4년전 총인구,Statistics,103941.0,103894.0,103762.0,103402.0
밀양시 - 5년간 연평균 인구증감률,Statistics,-0.2,-0.5,-0.5,-0.2
밀양시 - 당해년 총인구,Statistics,103228.0,101837.0,101574.0,102738.0
보령시 - 4년전 총인구,Statistics,101161.0,100922.0,100229.0,99320.0
보령시 - 5년간 연평균 인구증감률,Statistics,-0.5,-0.9,-0.9,-0.6
보령시 - 당해년 총인구,Statistics,99088.0,97390.0,96511.0,96890.0
보성군 - 4년전 총인구,Statistics,40125.0,39942.0,39373.0,38339.0
보성군 - 5년간 연평균 인구증감률,Statistics,-1.4,-1.9,-2.0,-1.6
보성군 - 당해년 총인구,Statistics,37888.0,36981.0,36244.0,35955.0
보은군 - 4년전 총인구,Statistics,32517.0,32253.0,32507.0,32001.0
보은군 - 5년간 연평균 인구증감률,Statistics,-0.8,-1.0,-1.5,-1.4
보은군 - 당해년 총인구,Statistics,31543.0,30929.0,30636.0,30226.0
봉화군 - 4년전 총인구,Statistics,31262.0,31082.0,30872.0,30308.0
봉화군 - 5년간 연평균 인구증감률,Statistics,-1.1,-1.6,-1.7,-1.6
봉화군 - 당해년 총인구,Statistics,29945.0,29168.0,28798.0,28430.0
부산광역시 - 4년전 총인구,Statistics,3440484.0,3416918.0,3395278.0,3372692.0
부산광역시 - 5년간 연평균 인구증감률,Statistics,-0.7,-0.7,-0.7,-0.7
부산광역시 - 당해년 총인구,Statistics,3349016.0,3324335.0,3295760.0,3279604.0
부산진구 - 4년전 총인구,Statistics,370250.0,366492.0,357723.0,352390.0
부산진구 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.1,-0.5,0.2
부산진구 - 당해년 총인구,Statistics,351403.0,351201.0,350426.0,355644.0
부안군 - 4년전 총인구,Statistics,51855.0,51249.0,50501.0,49733.0
부안군 - 5년간 연평균 인구증감률,Statistics,-1.2,-1.7,-1.6,-1.5
부안군 - 당해년 총인구,Statistics,49326.0,47756.0,47372.0,46853.0
부여군 - 4년전 총인구,Statistics,68152.0,67028.0,66527.0,65337.0
부여군 - 5년간 연평균 인구증감률,Statistics,-1.5,-1.8,-2.0,-1.7
부여군 - 당해년 총인구,Statistics,64207.0,62415.0,61481.0,60991.0
부천시 - 4년전 총인구,Statistics,844043.0,845514.0,848756.0,836751.0
부천시 - 5년간 연평균 인구증감률,Statistics,-0.3,-0.7,-1.2,-1.0
부천시 - 당해년 총인구,Statistics,833148.0,822635.0,810142.0,803512.0
부평구 - 4년전 총인구,Statistics,544319.0,538236.0,525014.0,514385.0
부평구 - 5년간 연평균 인구증감률,Statistics,-2.1,-2.1,-1.3,-0.8
부평구 - 당해년 총인구,Statistics,500812.0,494641.0,498254.0,498558.0
북구 - 4년전 총인구,Statistics,303445.0,296945.0,291675.0,285098.0
북구 - 5년간 연평균 인구증감률,Statistics,-2.0,-1.5,-1.4,-1.3
북구 - 당해년 총인구,Statistics,280177.0,279815.0,275580.0,270951.0
사상구 - 4년전 총인구,Statistics,235080.0,231587.0,226961.0,222618.0
사상구 - 5년간 연평균 인구증감률,Statistics,-2.1,-2.2,-2.3,-1.7
사상구 - 당해년 총인구,Statistics,216350.0,211788.0,206948.0,208245.0
사천시 - 4년전 총인구,Statistics,112394.0,111655.0,112248.0,111110.0
사천시 - 5년간 연평균 인구증감률,Statistics,-0.3,-0.5,-0.7,-0.5
사천시 - 당해년 총인구,Statistics,111184.0,109646.0,109350.0,109008.0
사하구 - 4년전 총인구,Statistics,331881.0,330293.0,326655.0,319828.0
사하구 - 5년간 연평균 인구증감률,Statistics,-1.5,-1.9,-1.9,-1.7
사하구 - 당해년 총인구,Statistics,312057.0,305790.0,303000.0,298826.0
산청군 - 4년전 총인구,Statistics,33765.0,34033.0,34122.0,33579.0
산청군 - 5년간 연평균 인구증감률,Statistics,-0.2,-0.8,-1.0,-0.5
산청군 - 당해년 총인구,Statistics,33500.0,33014.0,32811.0,32892.0
삼척시 - 4년전 총인구,Statistics,69364.0,67860.0,67881.0,67210.0
삼척시 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.3,-1.3,-1.4
삼척시 - 당해년 총인구,Statistics,65939.0,64464.0,64289.0,63542.0
