item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
공주시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
공주시 - 자동차등록대수＜br＞(A),Statistics,40731.0,42299.0,43796.0,45154.0,45994.0,47593.0,49534.0,51100.0,48776.0,49914.0,50213.0,51207.0,52504.0,53448.0,54874.0,55520.0,56648.0,57373.0,58802.0,59768.0,59972.0
공주시 - 주민등록인구＜br＞(B),Statistics,130280.0,129489.0,128330.0,126612.0,125143.0,124172.0,124930.0,124748.0,117298.0,116369.0,113621.0,111261.0,109931.0,108432.0,107581.0,106474.0,104545.0,103145.0,102571.0,102104.0,101285.0
과천시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
과천시 - 자동차등록대수＜br＞(A),Statistics,20011.0,18382.0,18388.0,19272.0,21470.0,22668.0,22602.0,22907.0,22757.0,22795.0,22957.0,23312.0,22351.0,21065.0,21688.0,22109.0,24409.0,28528.0,30963.0,32689.0,35041.0
과천시 - 주민등록인구＜br＞(B),Statistics,68333.0,60956.0,60482.0,62291.0,69477.0,72049.0,72279.0,71955.0,71068.0,70578.0,70156.0,68946.0,63778.0,57527.0,58142.0,58289.0,63231.0,73345.0,78137.0,81000.0,85512.0
관악구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
관악구 - 자동차등록대수＜br＞(A),Statistics,115437.0,115875.0,118720.0,119266.0,118677.0,119352.0,119194.0,119090.0,118990.0,118448.0,118922.0,120789.0,122039.0,122103.0,121430.0,120050.0,119393.0,118082.0,118615.0,118303.0,116745.0
관악구 - 주민등록인구＜br＞(B),Statistics,530156.0,530020.0,535217.0,535571.0,534556.0,529869.0,531434.0,526397.0,523029.0,518028.0,513186.0,509663.0,506851.0,503297.0,501957.0,500094.0,495060.0,485699.0,486752.0,481956.0,477812.0
광명시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
광명시 - 자동차등록대수＜br＞(A),Statistics,81154.0,81691.0,79578.0,82007.0,82091.0,84823.0,95539.0,99812.0,101202.0,102479.0,104313.0,105398.0,106736.0,107805.0,108754.0,106984.0,104537.0,105349.0,106517.0,106091.0,106550.0
광명시 - 주민등록인구＜br＞(B),Statistics,331419.0,327828.0,313372.0,313019.0,310501.0,314257.0,343982.0,355226.0,355560.0,353100.0,348560.0,344978.0,339484.0,332790.0,326841.0,316552.0,298599.0,292893.0,287945.0,280197.0,278167.0
광산구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
광산구 - 자동차등록대수＜br＞(A),Statistics,95595.0,102236.0,106336.0,109718.0,114212.0,125346.0,137002.0,145133.0,152572.0,159589.0,166504.0,175195.0,180798.0,187756.0,194607.0,200335.0,206942.0,210930.0,215414.0,218104.0,220146.0
광산구 - 주민등록인구＜br＞(B),Statistics,296101.0,306989.0,311621.0,316101.0,320660.0,342936.0,363239.0,375509.0,385101.0,392875.0,397281.0,400753.0,403049.0,404131.0,404547.0,405315.0,405579.0,404221.0,400654.0,396741.0,391611.0
광양시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7
광양시 - 자동차등록대수＜br＞(A),Statistics,48462.0,50870.0,52550.0,54591.0,56979.0,60043.0,62870.0,66769.0,68805.0,70961.0,73720.0,76563.0,79831.0,82202.0,85189.0,87990.0,88660.0,91008.0,95367.0,98678.0,102062.0
