item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경상남도 - 전년 총인구＜br＞(B),Statistics,3108674.0,3124123.0,3143475.0,3162190.0,3168734.0,3187110.0,3208810.0,3239342.0,3276962.0,3303398.0,3348254.0,3374725.0,3383685.0,3402946.0,3428035.0,3447018.0,3454892.0,3455540.0,3448292.0,3438676.0,3407455.0,3377331.0,3350883.0
경상북도 - 당해년 총인구＜br＞(A),Statistics,2802597.0,2775890.0,2742123.0,2718613.0,2711900.0,2718298.0,2715085.0,2709662.0,2705226.0,2726815.0,2739179.0,2738420.0,2742939.0,2748599.0,2752591.0,2751749.0,2745070.0,2733800.0,2723955.0,2691891.0,2677709.0,2657547.0,2621349.0
경상북도 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.39,-0.95,-1.22,-0.86,-0.25,0.24,-0.12,-0.2,-0.16,0.8,0.45,-0.03,0.17,0.21,0.15,-0.03,-0.24,-0.41,-0.36,-1.18,-0.53,-0.75,-1.36
경상북도 - 전년 총인구＜br＞(B),Statistics,2813551.0,2802597.0,2775890.0,2742123.0,2718613.0,2711900.0,2718298.0,2715085.0,2709662.0,2705226.0,2726815.0,2739179.0,2738420.0,2742939.0,2748599.0,2752591.0,2751749.0,2745070.0,2733800.0,2723955.0,2691891.0,2677709.0,2657547.0
경주시 - 당해년 총인구＜br＞(A),Statistics,288915.0,285900.0,282955.0,280092.0,277764.0,277185.0,276877.0,274295.0,272331.0,272569.0,271869.0,270663.0,270493.0,269930.0,268970.0,268928.0,268091.0,268160.0,267196.0,263704.0,261493.0,259554.0,258534.0
경주시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.86,-1.04,-1.03,-1.01,-0.83,-0.21,-0.11,-0.93,-0.72,0.09,-0.26,-0.44,-0.06,-0.21,-0.36,-0.02,-0.31,0.03,-0.36,-1.31,-0.84,-0.74,-0.39
경주시 - 전년 총인구＜br＞(B),Statistics,291409.0,288915.0,285900.0,282955.0,280092.0,277764.0,277185.0,276877.0,274295.0,272331.0,272569.0,271869.0,270663.0,270493.0,269930.0,268970.0,268928.0,268091.0,268160.0,267196.0,263704.0,261493.0,259554.0
계룡시 - 당해년 총인구＜br＞(A),Statistics,28883.0,29961.0,31137.0,31270.0,34451.0,36959.0,37920.0,41579.0,42941.0,43269.0,43115.0,41703.0,41107.0,40713.0,41920.0,42838.0,44174.0,43934.0,43188.0,43031.0,43522.0,44668.0,46895.0
계룡시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,4.73,3.73,3.93,0.43,10.17,7.28,2.6,9.65,3.28,0.76,-0.36,-3.27,-1.43,-0.96,2.96,2.19,3.12,-0.54,-1.7,-0.36,1.14,2.63,4.99
계룡시 - 전년 총인구＜br＞(B),Statistics,27578.0,28883.0,29961.0,31137.0,31270.0,34451.0,36959.0,37920.0,41579.0,42941.0,43269.0,43115.0,41703.0,41107.0,40713.0,41920.0,42838.0,44174.0,43934.0,43188.0,43031.0,43522.0,44668.0
계양구 - 당해년 총인구＜br＞(A),Statistics,340830.0,342183.0,341962.0,338985.0,337432.0,344908.0,345759.0,345713.0,347296.0,351026.0,347422.0,345126.0,346759.0,342649.0,337448.0,333344.0,326892.0,315903.0,306817.0,299904.0,298802.0,292112.0,283822.0
계양구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.82,0.4,-0.06,-0.87,-0.46,2.22,0.25,-0.01,0.46,1.07,-1.03,-0.66,0.47,-1.19,-1.52,-1.22,-1.94,-3.36,-2.88,-2.25,-0.37,-2.24,-2.84
계양구 - 전년 총인구＜br＞(B),Statistics,338070.0,340830.0,342183.0,341962.0,338985.0,337432.0,344908.0,345759.0,345713.0,347296.0,351026.0,347422.0,345126.0,346759.0,342649.0,337448.0,333344.0,326892.0,315903.0,306817.0,299904.0,298802.0,292112.0
고령군 - 당해년 총인구＜br＞(A),Statistics,37498.0,36688.0,35798.0,35389.0,35143.0,35911.0,36047.0,35925.0,35679.0,35892.0,36879.0,36789.0,36776.0,36853.0,36439.0,36069.0,35525.0,34673.0,34122.0,32891.0,32001.0,31922.0,32041.0
고령군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-1.89,-2.16,-2.43,-1.14,-0.7,2.19,0.38,-0.34,-0.68,0.6,2.75,-0.24,-0.04,0.21,-1.12,-1.02,-1.51,-2.4,-1.59,-3.61,-2.71,-0.25,0.37
