item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
괴산군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.0,4.0,1.9,1.1,1.2,3.0,0.7,1.7,1.6,1.5,2.1,0.5,3.1,3.9,4.3,1.8,2.9
괴산군 - 전체 교통사고발생건수＜br＞(B),Statistics,119.0,151.0,160.0,188.0,164.0,169.0,152.0,180.0,192.0,195.0,239.0,190.0,193.0,181.0,188.0,164.0,140.0
구례군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,2.0,3.0,4.0,,4.0,4.0,3.0,8.0,8.0,4.0,5.0,1.0,1.0,7.0,3.0,1.0,1.0
구례군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,1.3,1.9,2.2,,2.6,3.0,2.1,5.5,5.6,3.0,4.5,0.7,0.9,6.0,2.7,1.0,0.9
구례군 - 전체 교통사고발생건수＜br＞(B),Statistics,154.0,155.0,179.0,127.0,152.0,133.0,146.0,146.0,144.0,133.0,111.0,142.0,111.0,117.0,113.0,102.0,112.0
구로구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,55.0,43.0,50.0,67.0,74.0,39.0,45.0,55.0,32.0,61.0,44.0,35.0,32.0,42.0,34.0,38.0,19.0
구로구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.5,2.7,3.2,4.3,4.7,2.8,2.9,3.6,2.1,4.3,2.9,2.3,2.4,3.1,2.7,2.8,1.4
구로구 - 전체 교통사고발생건수＜br＞(B),Statistics,1577.0,1583.0,1568.0,1542.0,1582.0,1415.0,1566.0,1508.0,1511.0,1433.0,1532.0,1529.0,1325.0,1350.0,1274.0,1359.0,1320.0
구리시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,44.0,28.0,43.0,26.0,34.0,45.0,30.0,34.0,27.0,11.0,24.0,19.0,25.0,16.0,18.0,26.0,19.0
구리시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.3,4.4,6.3,3.9,5.1,6.6,4.3,5.0,4.6,1.9,3.6,2.5,3.3,2.2,2.5,3.7,2.4
