item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
증평군 - 실업률 (％),Statistics,2.0,2.2,2.2,2.6,2.3,2.0,4.0,4.4,3.2,3.0,3.9,2.3
진도군 - 실업률 (％),Statistics,0.0,0.1,0.8,1.2,0.1,1.0,0.5,0.7,0.0,0.7,0.1,0.1
진안군 - 실업률 (％),Statistics,1.6,0.2,0.1,1.2,0.9,0.5,0.9,0.1,0.4,0.2,0.4,0.6
진주시 - 실업률 (％),Statistics,1.8,2.0,2.5,2.2,2.2,3.4,3.3,3.7,4.0,3.1,3.5,2.9
진천군 - 실업률 (％),Statistics,1.6,2.6,2.2,3.2,2.5,2.0,2.0,3.5,3.1,1.8,3.0,2.5
창녕군 - 실업률 (％),Statistics,0.9,2.6,3.3,1.5,1.7,1.3,2.4,2.8,1.6,0.3,0.6,1.5
창원시 - 실업률 (％),Statistics,2.8,2.8,3.0,3.8,3.5,3.4,4.7,4.1,3.7,3.7,3.3,2.2
천안시 - 실업률 (％),Statistics,2.2,3.4,3.3,3.7,2.7,3.2,3.1,3.8,2.5,1.8,2.7,3.0
철원군 - 실업률 (％),Statistics,0.9,0.5,0.1,1.3,1.7,0.7,0.6,2.4,2.5,0.7,0.6,0.2
청도군 - 실업률 (％),Statistics,1.1,1.8,0.9,0.6,0.4,1.0,0.8,1.5,0.8,0.5,0.7,0.4
청송군 - 실업률 (％),Statistics,0.8,1.1,0.5,1.1,0.8,1.6,1.6,1.0,0.7,0.7,0.2,0.7
청양군 - 실업률 (％),Statistics,0.8,1.5,1.5,0.9,0.5,0.7,0.4,0.8,1.4,0.8,0.9,0.3
청원군 - 실업률 (％),Statistics,2.3,2.1,,,,,,,,,,
청주시 - 실업률 (％),Statistics,2.7,3.8,4.4,3.4,3.1,3.6,3.6,3.0,3.4,3.3,2.8,2.5
춘천시 - 실업률 (％),Statistics,2.0,3.4,4.2,3.6,2.9,2.7,3.6,4.3,3.9,3.0,2.1,2.9
충주시 - 실업률 (％),Statistics,3.1,2.8,3.1,3.5,3.3,2.3,2.4,2.4,1.2,1.5,1.2,0.5
칠곡군 - 실업률 (％),Statistics,2.7,4.0,3.5,3.3,3.2,4.1,3.8,3.2,3.3,3.0,2.2,2.9
태백시 - 실업률 (％),Statistics,1.0,0.6,0.1,0.8,0.8,0.2,0.5,1.6,1.4,0.9,1.0,1.2
태안군 - 실업률 (％),Statistics,1.0,1.4,1.1,1.2,2.1,1.6,1.3,1.2,0.5,0.6,0.8,1.0
통영시 - 실업률 (％),Statistics,2.5,1.6,2.7,3.3,3.7,6.2,5.9,3.8,4.6,4.4,4.2,2.9
파주시 - 실업률 (％),Statistics,2.6,2.9,2.8,3.1,2.8,3.5,3.0,2.8,3.9,2.3,2.0,2.6
평창군 - 실업률 (％),Statistics,1.2,0.6,1.1,1.3,1.5,0.5,0.7,1.3,0.8,0.7,0.2,0.1
평택시 - 실업률 (％),Statistics,3.1,2.5,2.7,3.5,2.0,2.3,3.8,3.1,3.6,2.8,2.4,4.5
