item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
과천시 - 계 - 건수,Statistics,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0
과천시 - 계 - 농가수,Statistics,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0
과천시 - 계 - 출하량,Statistics,5.0,,1.0,2.0,,2.54,7.11,6.12,6.99,7.05
과천시 - 무항생제축산물 - 건수,Statistics,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0
과천시 - 무항생제축산물 - 농가수,Statistics,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0
과천시 - 무항생제축산물 - 출하량,Statistics,5.0,,1.0,2.0,,2.54,7.11,6.12,6.99,7.05
관악구 - 계 - 건수,Statistics,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
관악구 - 계 - 농가수,Statistics,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
관악구 - 계 - 출하량,Statistics,90.0,,,159.0,49.6,54.36,1086.72,1248.15,1101.7,1029.44
관악구 - 무항생제축산물 - 건수,Statistics,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
관악구 - 무항생제축산물 - 농가수,Statistics,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
관악구 - 무항생제축산물 - 출하량,Statistics,90.0,,,159.0,49.6,54.36,1086.72,1248.15,1101.7,1029.44
광명시 - 계 - 건수,Statistics,2.0,3.0,2.0,,1.0,1.0,,,,
광명시 - 계 - 농가수,Statistics,2.0,3.0,2.0,,1.0,1.0,,,,
광명시 - 계 - 출하량,Statistics,1.0,2.0,8.1,,,,,,,
광명시 - 무항생제축산물 - 건수,Statistics,2.0,3.0,2.0,,1.0,1.0,,,,
광명시 - 무항생제축산물 - 농가수,Statistics,2.0,3.0,2.0,,1.0,1.0,,,,
광명시 - 무항생제축산물 - 출하량,Statistics,1.0,2.0,8.1,,,,,,,
광산구 - 계 - 건수,Statistics,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
광산구 - 계 - 농가수,Statistics,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
광산구 - 계 - 출하량,Statistics,187.0,253.0,2132.6,359.0,164.86,906.1,921.15,1025.29,989.41,1021.43
광산구 - 무항생제축산물 - 건수,Statistics,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
광산구 - 무항생제축산물 - 농가수,Statistics,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
광산구 - 무항생제축산물 - 출하량,Statistics,187.0,253.0,2132.6,359.0,164.86,906.1,921.15,1025.29,989.41,1021.43
광양시 - 계 - 건수,Statistics,7.0,18.0,21.0,20.0,20.0,21.0,21.0,21.0,23.0,22.0
