item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
광양시 - 총재활용량＜br＞(A),Statistics,35.6,40.8,51.1,49.4,67.5,43.8,64.7,114.5,56.7,54.1,54.1,56.7,162.6,79.0,91.1,78.6,84.4,96.5,112.6,109.4,85.8,94.4,90.8
광주광역시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,34.9,35.4,37.1,42.5,58.4,58.0,60.6,60.8,61.0,63.0,65.5,62.2,62.2,63.9,61.9,59.2,85.5,56.9,57.9,58.9,62.4,71.6,90.2
광주광역시 - 생활계폐기물 총발생량＜br＞(B),Statistics,1468.8,1494.0,1487.9,1543.8,1503.5,1478.4,1449.4,1480.8,1430.0,1396.9,1333.9,1328.8,1327.0,1316.4,1272.9,1247.2,1269.1,1272.3,1368.3,1351.4,1553.5,1452.8,1446.4
광주광역시 - 총재활용량＜br＞(A),Statistics,513.3,528.6,552.6,656.4,877.4,857.0,878.4,900.0,872.0,880.5,873.8,826.8,825.6,841.6,787.3,737.9,1085.1,723.9,791.9,796.4,970.1,1040.1,1305.1
광주시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,52.8,63.7,58.5,56.9,52.8,53.2,59.1,67.5,68.2,66.8,67.8,71.5,67.7,67.4,71.7,71.6,72.6,66.3,51.9,56.0,51.2,64.6,54.0
광주시 - 생활계폐기물 총발생량＜br＞(B),Statistics,163.0,185.7,197.3,198.0,223.8,186.7,234.3,245.1,247.1,262.1,233.8,250.6,257.6,271.2,292.7,295.9,301.0,366.7,312.2,347.9,392.2,397.4,418.3
광주시 - 총재활용량＜br＞(A),Statistics,86.0,118.3,115.4,112.6,118.2,99.3,138.4,165.5,168.6,175.2,158.4,179.3,174.5,182.9,210.0,211.8,218.4,243.2,162.0,194.9,200.8,256.9,225.9
광진구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,37.2,52.1,61.4,64.7,73.7,70.4,63.4,65.5,72.7,73.6,74.1,75.1,75.3,73.0,73.8,73.8,75.0,76.9,75.8,69.6,68.5,78.9,64.4
광진구 - 생활계폐기물 총발생량＜br＞(B),Statistics,356.8,475.0,465.1,470.6,410.4,437.6,357.2,376.3,382.7,392.3,365.2,368.5,379.3,348.9,339.4,326.3,319.2,342.5,333.9,343.1,250.5,330.5,286.9
광진구 - 총재활용량＜br＞(A),Statistics,132.6,247.6,285.4,304.7,302.5,308.2,226.4,246.4,278.3,288.6,270.5,276.6,285.8,254.6,250.4,240.8,239.3,263.3,253.2,238.8,171.7,260.9,184.7
괴산군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,40.8,34.9,32.7,36.5,30.3,27.1,55.8,54.3,52.7,45.3,40.3,63.9,65.7,69.7,57.5,53.2,42.7,40.8,22.1,47.6,71.3,49.1,36.0
괴산군 - 생활계폐기물 총발생량＜br＞(B),Statistics,37.3,34.4,34.6,35.3,32.7,72.2,34.2,34.1,33.6,33.8,31.3,47.6,46.9,44.2,49.2,58.6,70.1,71.0,39.9,54.0,76.2,46.2,68.0
