item,category,2003,2004,2005,2006,2007,2008
정선군 - 요양기관수,Statistics,53.0,53.0,54.0,54.0,57.0,55.0
정읍시 - 요양기관수,Statistics,207.0,208.0,219.0,226.0,230.0,235.0
제주시 - 요양기관수,Statistics,456.0,460.0,466.0,501.0,633.0,639.0
제주특별자치도 - 요양기관수,Statistics,749.0,755.0,764.0,813.0,846.0,854.0
제천시 - 요양기관수,Statistics,183.0,182.0,186.0,190.0,193.0,201.0
종로구 - 요양기관수,Statistics,648.0,650.0,653.0,652.0,660.0,660.0
중구 - 요양기관수,Statistics,680.0,677.0,687.0,681.0,688.0,695.0
중랑구 - 요양기관수,Statistics,594.0,598.0,596.0,599.0,609.0,618.0
증평군 - 요양기관수,Statistics,51.0,51.0,54.0,53.0,54.0,51.0
진도군 - 요양기관수,Statistics,53.0,54.0,55.0,51.0,53.0,54.0
진안군 - 요양기관수,Statistics,47.0,47.0,47.0,47.0,49.0,48.0
진주시 - 요양기관수,Statistics,435.0,438.0,456.0,465.0,468.0,464.0
진천군 - 요양기관수,Statistics,81.0,81.0,86.0,91.0,90.0,87.0
진해시 - 요양기관수,Statistics,163.0,170.0,198.0,205.0,214.0,219.0
창녕군 - 요양기관수,Statistics,102.0,102.0,106.0,112.0,111.0,112.0
창원시 - 요양기관수,Statistics,556.0,559.0,570.0,573.0,581.0,600.0
천안시 - 요양기관수,Statistics,598.0,602.0,648.0,715.0,751.0,756.0
천안시동남구 - 요양기관수,Statistics,,,,,,339.0
천안시서북구 - 요양기관수,Statistics,,,,,,430.0
철원군 - 요양기관수,Statistics,64.0,64.0,62.0,66.0,68.0,64.0
청도군 - 요양기관수,Statistics,71.0,71.0,73.0,74.0,74.0,77.0
청송군 - 요양기관수,Statistics,49.0,50.0,50.0,48.0,47.0,49.0
청양군 - 요양기관수,Statistics,51.0,51.0,56.0,57.0,56.0,57.0
청원군 - 요양기관수,Statistics,115.0,115.0,116.0,117.0,141.0,164.0
청주시상당구 - 요양기관수,Statistics,404.0,409.0,423.0,425.0,431.0,414.0
청주시흥덕구 - 요양기관수,Statistics,477.0,474.0,496.0,513.0,515.0,533.0
춘천시 - 요양기관수,Statistics,330.0,331.0,341.0,359.0,363.0,363.0
충주시 - 요양기관수,Statistics,268.0,269.0,270.0,276.0,290.0,289.0
충청남도 - 요양기관수,Statistics,2601.0,2611.0,2730.0,2868.0,2968.0,3018.0
충청북도 - 요양기관수,Statistics,2060.0,2064.0,2121.0,2172.0,2227.0,2252.0
칠곡군 - 요양기관수,Statistics,132.0,133.0,131.0,143.0,145.0,148.0
태백시 - 요양기관수,Statistics,60.0,59.0,64.0,70.0,68.0,66.0
태안군 - 요양기관수,Statistics,85.0,86.0,90.0,96.0,98.0,100.0
통영시 - 요양기관수,Statistics,170.0,169.0,164.0,167.0,173.0,171.0
파주시 - 요양기관수,Statistics,268.0,267.0,278.0,318.0,356.0,363.0
평창군 - 요양기관수,Statistics,62.0,62.0,62.0,65.0,67.0,70.0
평택시 - 요양기관수,Statistics,462.0,466.0,487.0,508.0,557.0,579.0
포천시 - 요양기관수,Statistics,155.0,152.0,158.0,179.0,184.0,185.0
포항시남구 - 요양기관수,Statistics,238.0,238.0,246.0,253.0,259.0,276.0
포항시북구 - 요양기관수,Statistics,376.0,377.0,377.0,388.0,405.0,416.0
하남시 - 요양기관수,Statistics,125.0,123.0,135.0,146.0,155.0,171.0
하동군 - 요양기관수,Statistics,73.0,74.0,74.0,79.0,79.0,82.0
함안군 - 요양기관수,Statistics,67.0,68.0,69.0,73.0,75.0,84.0
함양군 - 요양기관수,Statistics,55.0,55.0,59.0,59.0,72.0,69.0
함평군 - 요양기관수,Statistics,68.0,68.0,69.0,67.0,71.0,75.0
합천군 - 요양기관수,Statistics,79.0,79.0,81.0,80.0,83.0,84.0
해남군 - 요양기관수,Statistics,123.0,123.0,119.0,126.0,133.0,132.0
해운대구 - 요양기관수,Statistics,512.0,513.0,524.0,541.0,562.0,604.0
홍성군 - 요양기관수,Statistics,124.0,122.0,127.0,128.0,132.0,133.0
홍천군 - 요양기관수,Statistics,97.0,96.0,100.0,103.0,109.0,113.0
화성시 - 요양기관수,Statistics,236.0,235.0,281.0,335.0,350.0,414.0
화순군 - 요양기관수,Statistics,110.0,110.0,112.0,115.0,111.0,116.0
화천군 - 요양기관수,Statistics,30.0,30.0,30.0,32.0,30.0,31.0
횡성군 - 요양기관수,Statistics,59.0,59.0,58.0,59.0,61.0,63.0
