item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
만안구 - 조이혼율 (천명당),Statistics,3.3,3.5,3.6,3.0,2.9,2.4,2.7,2.4,2.8,2.4,2.3,2.4,2.2,2.2,2.1,2.0,2.0,2.1,2.0,1.9,2.0,1.7,1.5,1.5
목포시 - 조이혼율 (천명당),Statistics,3.1,3.4,4.0,3.3,2.6,2.7,2.5,2.4,2.6,2.5,2.5,2.6,2.6,2.6,2.5,2.4,2.3,2.4,2.3,2.4,2.4,2.2,2.0,2.2
무안군 - 조이혼율 (천명당),Statistics,1.8,2.2,2.9,2.6,2.3,2.0,2.2,2.1,2.1,2.3,2.2,2.2,2.0,2.3,2.2,2.1,2.1,1.9,2.2,2.3,2.0,1.8,1.8,1.8
무주군 - 조이혼율 (천명당),Statistics,1.1,1.4,2.2,1.9,2.0,1.4,1.7,1.8,1.8,2.0,2.3,2.0,2.1,2.0,1.8,1.2,1.2,2.1,2.3,2.0,2.1,2.0,1.8,1.6
문경시 - 조이혼율 (천명당),Statistics,1.8,1.8,2.2,1.7,2.0,2.1,2.1,1.7,1.8,2.0,1.8,2.1,1.8,2.0,1.9,1.8,1.9,1.6,1.8,1.8,1.7,1.6,1.7,1.6
미추홀구 - 조이혼율 (천명당),Statistics,,,,,,,,,,,,,,,,,,2.7,3.0,2.9,2.7,2.4,2.4,2.3
밀양시 - 조이혼율 (천명당),Statistics,2.1,2.1,2.7,2.3,2.1,2.1,2.2,2.4,2.5,2.1,2.0,2.1,2.0,2.0,2.1,1.9,1.9,1.9,2.2,1.8,2.0,1.8,1.4,1.9
보령시 - 조이혼율 (천명당),Statistics,2.6,2.8,3.1,2.8,2.4,2.7,2.3,2.3,3.1,2.4,2.6,2.6,2.3,2.8,2.6,2.1,2.6,2.5,2.2,2.4,2.7,2.4,2.4,2.3
보성군 - 조이혼율 (천명당),Statistics,1.9,2.2,2.2,1.7,1.7,1.8,1.7,1.8,1.9,2.1,2.1,1.8,1.7,1.7,2.2,1.7,1.9,2.3,1.8,1.9,1.5,1.9,1.8,1.7
보은군 - 조이혼율 (천명당),Statistics,1.8,2.0,1.8,1.8,1.9,2.3,1.5,1.4,2.4,1.7,2.1,2.2,2.0,2.7,2.0,1.4,2.3,1.8,1.9,2.5,2.1,1.7,2.2,2.3
봉화군 - 조이혼율 (천명당),Statistics,1.5,1.0,2.2,1.4,1.5,1.9,1.9,1.8,1.9,1.3,1.4,2.2,1.6,2.1,1.8,1.7,2.0,1.4,1.7,1.8,1.1,1.9,1.9,1.4
부산광역시 - 조이혼율 (천명당),Statistics,2.8,3.2,3.8,3.1,2.7,2.5,2.4,2.2,2.4,2.2,2.1,2.1,2.1,2.1,1.9,2.0,1.9,2.0,2.0,1.9,1.9,1.7,1.7,1.6
부산진구 - 조이혼율 (천명당),Statistics,2.7,3.2,3.5,3.0,2.7,2.5,2.3,2.1,2.5,2.0,2.1,2.1,2.0,2.0,1.8,1.9,1.8,1.9,1.9,1.9,1.7,1.6,1.6,1.5
부안군 - 조이혼율 (천명당),Statistics,2.0,2.0,2.7,2.5,2.0,2.4,2.8,2.3,2.3,2.4,2.4,2.3,2.3,2.1,2.1,2.3,1.9,2.5,2.2,2.3,2.5,2.0,2.0,2.2
부여군 - 조이혼율 (천명당),Statistics,1.8,2.1,2.4,1.9,1.9,1.9,1.8,1.7,2.2,2.1,2.2,2.1,1.9,2.0,1.9,2.2,1.7,1.9,2.2,2.0,1.9,1.6,2.0,2.0
부천시 - 조이혼율 (천명당),Statistics,3.3,3.4,4.1,3.2,3.0,3.2,3.0,2.5,2.7,2.4,2.4,2.4,2.4,2.3,2.3,2.1,2.1,2.1,2.2,2.0,1.9,1.8,1.8,1.6
부평구 - 조이혼율 (천명당),Statistics,3.5,3.7,4.2,3.9,3.5,3.2,3.0,2.8,2.8,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.3,2.2,1.9,2.0,1.8
북구 - 조이혼율 (천명당),Statistics,2.7,3.4,4.1,3.0,2.5,2.4,2.3,2.3,2.3,2.0,2.1,2.1,2.0,2.1,1.9,2.0,1.8,1.9,1.8,1.9,1.8,1.6,1.6,1.7
북제주군 - 조이혼율 (천명당),Statistics,3.0,3.2,3.6,2.9,3.3,,,,,,,,,,,,,,,,,,,
분당구 - 조이혼율 (천명당),Statistics,1.8,1.8,2.0,1.9,1.8,1.9,1.8,1.7,1.6,1.4,1.4,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.2,1.1,1.2,1.0,1.0,1.1
사상구 - 조이혼율 (천명당),Statistics,2.7,3.1,3.6,3.2,2.8,2.6,2.6,2.2,2.4,2.4,2.2,2.3,2.2,2.3,1.9,2.1,2.0,2.0,2.3,2.1,2.2,1.7,1.7,1.7
사천시 - 조이혼율 (천명당),Statistics,2.7,2.9,2.9,2.9,2.3,2.8,2.6,2.2,2.5,2.5,2.4,2.2,2.6,2.3,2.0,2.2,2.5,2.3,2.5,2.5,2.3,2.4,2.2,2.2
사하구 - 조이혼율 (천명당),Statistics,2.9,3.3,3.9,3.2,2.8,2.6,2.7,2.3,2.5,2.2,2.2,2.3,2.3,2.2,2.0,2.2,2.1,2.2,2.4,2.2,2.1,1.8,1.8,1.7
산청군 - 조이혼율 (천명당),Statistics,1.3,1.9,1.8,2.3,2.0,2.2,1.9,2.0,2.0,2.3,2.4,1.8,1.9,2.2,1.8,2.4,2.0,1.8,1.9,2.1,2.2,1.5,1.9,2.2
삼척시 - 조이혼율 (천명당),Statistics,2.4,2.8,3.0,2.7,2.3,2.3,2.5,1.7,2.0,2.2,2.2,2.5,2.1,2.3,2.1,2.2,1.8,2.1,2.5,2.1,2.1,1.6,2.0,2.0
상당구 - 조이혼율 (천명당),Statistics,2.7,2.9,3.3,2.6,2.3,2.1,2.4,2.3,2.4,2.3,2.3,1.8,2.2,2.2,2.0,2.0,1.9,2.0,2.0,2.0,1.8,1.8,1.9,1.8
상록구 - 조이혼율 (천명당),Statistics,,4.3,4.8,4.0,3.7,3.7,3.5,3.3,3.4,3.0,3.1,3.2,3.1,3.0,3.0,2.8,2.8,2.8,2.8,2.8,2.7,2.3,2.4,2.3
상주시 - 조이혼율 (천명당),Statistics,1.9,1.8,2.1,1.8,1.8,2.0,2.1,1.8,1.8,1.7,1.9,2.1,1.8,1.9,1.7,1.5,1.8,1.7,1.8,2.0,1.8,1.9,1.7,1.5
서구 - 조이혼율 (천명당),Statistics,3.0,3.3,4.0,3.4,2.8,2.8,2.5,2.6,2.6,2.6,2.6,2.3,2.4,2.2,2.2,2.5,2.1,2.1,2.1,1.9,2.1,1.9,1.8,1.6
서귀포시 - 조이혼율 (천명당),Statistics,3.1,3.4,3.7,3.0,2.7,2.5,2.8,2.2,2.6,2.8,2.5,2.5,2.6,2.7,2.4,2.5,2.3,2.8,2.6,2.6,2.3,2.5,2.3,2.7
서대문구 - 조이혼율 (천명당),Statistics,2.7,2.8,3.3,2.5,2.6,2.4,2.4,2.2,2.2,2.0,2.0,2.0,2.0,1.8,1.7,1.7,1.6,1.7,1.6,1.5,1.4,1.3,1.2,1.1
서북구 - 조이혼율 (천명당),Statistics,,,,,,,,2.1,2.5,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.4,2.3,2.3,2.0,2.0,2.1
서산시 - 조이혼율 (천명당),Statistics,2.3,2.5,2.9,2.3,2.5,2.4,2.2,2.3,2.5,2.4,2.5,2.3,2.2,2.5,2.5,2.1,2.4,2.4,2.5,2.6,2.3,2.4,2.1,2.2
