item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
괴산군 - 녹지지역 - 비율,Statistics,66.18,66.25,65.36,67.63,67.63,70.84,70.43,70.43,69.73,69.7,68.18,68.11,68.35,68.35,68.31
괴산군 - 도시지역 - 면적,Statistics,12445211.0,12445211.0,13073708.0,12634616.0,12634616.0,12157709.0,12228633.0,12228633.0,12411518.0,12417874.0,12417874.0,12429805.0,12430138.0,12430138.0,12434501.0
구례군 - 녹지지역 - 면적,Statistics,8132310.0,8132310.0,8132310.0,8132310.0,8132310.0,8132310.0,8132310.0,8132310.0,8114636.0,8114636.0,8114636.0,8114636.0,8114011.0,8114011.0,8114011.0
구례군 - 녹지지역 - 비율,Statistics,74.57,74.57,74.57,74.57,74.57,74.57,74.57,74.57,74.41,74.41,74.41,74.41,74.4,74.4,74.4
구례군 - 도시지역 - 면적,Statistics,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0
구로구 - 녹지지역 - 면적,Statistics,6078254.0,5929255.0,5929078.0,5929078.0,5929078.0,5884531.0,5884531.0,5884531.0,5157862.0,5157562.0,5157562.0,5157562.0,5157562.0,5157562.0,5157562.0
구로구 - 녹지지역 - 비율,Statistics,30.21,29.47,29.47,29.47,29.47,29.25,29.25,29.25,25.61,25.61,25.61,25.61,25.61,25.61,25.61
구로구 - 도시지역 - 면적,Statistics,20120000.0,20120000.0,20120000.0,20120000.0,20120000.0,20119485.0,20119485.0,20119485.0,20136328.0,20136328.0,20136328.0,20136328.0,20136328.0,20136328.0,20136328.0
구리시 - 녹지지역 - 면적,Statistics,26325561.0,25567422.0,25566949.0,25554954.0,25554954.0,25530767.0,25498717.0,25498717.0,25477336.0,25476370.0,25136777.0,25136777.0,25136777.0,25136777.0,25136777.0
구리시 - 녹지지역 - 비율,Statistics,79.07,76.8,76.8,76.76,76.76,76.69,76.59,76.59,76.53,76.52,75.5,75.5,75.5,75.5,75.5
구리시 - 도시지역 - 면적,Statistics,33292001.0,33292000.0,33292000.0,33292045.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0
구미시 - 녹지지역 - 면적,Statistics,126865089.0,126806602.0,126806602.0,127405127.0,127405127.0,127620055.0,127474102.0,126376876.0,126428962.0,126428962.0,126459313.0,126461027.0,126461027.0,126461027.0,126461027.0
구미시 - 녹지지역 - 비율,Statistics,71.88,68.3,68.3,68.62,68.62,68.74,68.66,68.02,68.05,68.05,68.05,68.06,68.06,68.06,68.06
구미시 - 도시지역 - 면적,Statistics,176504788.0,185660963.0,185660963.0,185660963.0,185660963.0,185660963.0,185659426.0,185781767.0,185781767.0,185781767.0,185820299.0,185821767.0,185821767.0,185821767.0,185821767.0
