item,category,2011,2013,2015,2017,2019,2021,2023
인천광역시 - 남자 - 매우 부족함,Statistics,17.2,26.1,23.7,19.6,15.9,17.304,16.73
인천광역시 - 남자 - 매우 여유있음,Statistics,5.9,0.9,0.8,0.3,1.3,1.925,1.971
인천광역시 - 남자 - 약간  여유있음,Statistics,15.9,7.1,7.2,8.9,11.3,13.25,12.993
인천광역시 - 남자 - 약간 부족함,Statistics,36.2,45.4,40.4,46.5,40.2,41.195,40.057
인천광역시 - 남자 - 적정함,Statistics,24.8,20.4,27.9,24.7,31.2,26.327,28.249
인천광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천광역시 - 여자 - 매우 부족함,Statistics,26.1,38.4,26.9,29.3,26.3,24.257,22.005
인천광역시 - 여자 - 매우 여유있음,Statistics,4.2,0.5,1.7,0.4,0.9,0.879,
인천광역시 - 여자 - 약간  여유있음,Statistics,10.3,3.8,4.7,4.4,6.4,5.518,8.648
인천광역시 - 여자 - 약간 부족함,Statistics,34.0,37.6,41.7,43.3,35.1,47.461,43.634
인천광역시 - 여자 - 적정함,Statistics,25.5,19.7,24.9,22.7,31.4,21.885,25.712
전국 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - 매우 부족함,Statistics,15.5,23.0,21.4,19.5,18.1,17.013,15.497
전국 - 계 - 매우 여유있음,Statistics,2.8,0.8,0.9,1.1,1.2,1.524,1.437
전국 - 계 - 약간  여유있음,Statistics,16.9,7.7,7.4,9.7,9.6,10.334,12.244
전국 - 계 - 약간 부족함,Statistics,34.0,43.2,43.3,42.9,42.5,40.923,39.608
전국 - 계 - 적정함,Statistics,30.8,25.3,27.0,26.8,28.6,30.206,31.214
전국 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 남자 - 매우 부족함,Statistics,14.2,21.2,19.5,17.7,15.8,15.929,14.011
전국 - 남자 - 매우 여유있음,Statistics,3.1,0.9,1.0,1.1,1.3,1.658,1.635
전국 - 남자 - 약간  여유있음,Statistics,18.4,8.4,8.5,10.6,10.9,11.137,13.398
전국 - 남자 - 약간 부족함,Statistics,33.1,43.4,43.1,42.9,43.0,40.167,39.046
전국 - 남자 - 적정함,Statistics,31.2,26.1,27.9,27.6,29.1,31.11,31.91
전국 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 여자 - 매우 부족함,Statistics,19.8,28.4,26.9,24.4,24.3,19.968,19.373
전국 - 여자 - 매우 여유있음,Statistics,1.6,0.7,0.8,0.9,1.0,1.161,0.92
전국 - 여자 - 약간  여유있음,Statistics,11.9,5.5,4.3,7.1,6.3,8.145,9.234
전국 - 여자 - 약간 부족함,Statistics,37.0,42.7,43.7,42.9,41.1,42.982,41.074
전국 - 여자 - 적정함,Statistics,29.7,22.7,24.3,24.7,27.2,27.743,29.399
전라남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전라남도 - 계 - 매우 부족함,Statistics,12.6,18.3,19.8,17.5,15.1,13.022,13.76
전라남도 - 계 - 매우 여유있음,Statistics,4.5,0.5,1.1,2.0,1.3,0.943,1.364
전라남도 - 계 - 약간  여유있음,Statistics,14.5,5.8,7.1,9.8,8.6,10.001,9.777
전라남도 - 계 - 약간 부족함,Statistics,37.4,48.3,42.3,41.6,42.3,40.809,38.753
전라남도 - 계 - 적정함,Statistics,31.1,27.1,29.6,29.2,32.8,35.225,36.346
전라남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전라남도 - 남자 - 매우 부족함,Statistics,11.5,15.7,17.4,14.4,12.0,12.38,13.752
전라남도 - 남자 - 매우 여유있음,Statistics,5.5,0.8,1.7,2.7,1.7,1.153,1.733
전라남도 - 남자 - 약간  여유있음,Statistics,16.8,7.2,8.5,11.1,10.4,10.836,10.703
전라남도 - 남자 - 약간 부족함,Statistics,34.1,47.2,41.3,38.7,41.0,38.651,36.8
전라남도 - 남자 - 적정함,Statistics,32.1,29.2,31.2,33.0,35.0,36.979,37.011
전라남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전라남도 - 여자 - 매우 부족함,Statistics,15.6,24.2,24.9,24.5,22.7,14.792,13.781
전라남도 - 여자 - 매우 여유있음,Statistics,1.4,,,0.4,0.3,0.363,0.317
전라남도 - 여자 - 약간  여유있음,Statistics,8.2,2.5,4.3,6.7,4.1,7.699,7.153
전라남도 - 여자 - 약간 부족함,Statistics,46.6,51.0,44.5,48.1,45.5,46.756,44.287
전라남도 - 여자 - 적정함,Statistics,28.2,22.4,26.4,20.3,27.3,30.39,34.462
전북특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전북특별자치도 - 계 - 매우 부족함,Statistics,11.0,19.9,22.7,15.8,15.6,12.455,15.269
전북특별자치도 - 계 - 매우 여유있음,Statistics,4.1,0.6,1.0,0.4,1.1,0.728,1.189
전북특별자치도 - 계 - 약간  여유있음,Statistics,18.0,8.1,6.2,10.3,9.0,12.983,15.246
전북특별자치도 - 계 - 약간 부족함,Statistics,30.0,45.8,39.9,42.8,42.5,37.402,37.45
전북특별자치도 - 계 - 적정함,Statistics,36.9,25.6,30.2,30.6,31.9,36.433,30.848
전북특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전북특별자치도 - 남자 - 매우 부족함,Statistics,10.3,15.4,18.5,13.7,13.4,10.697,15.08
전북특별자치도 - 남자 - 매우 여유있음,Statistics,4.7,0.7,0.9,0.6,1.2,0.604,1.502
전북특별자치도 - 남자 - 약간  여유있음,Statistics,19.7,8.9,7.3,12.3,9.7,13.957,16.664
전북특별자치도 - 남자 - 약간 부족함,Statistics,27.9,46.5,40.6,43.0,42.0,37.563,35.356
전북특별자치도 - 남자 - 적정함,Statistics,37.4,28.5,32.7,30.4,33.8,37.179,31.397
전북특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전북특별자치도 - 여자 - 매우 부족함,Statistics,13.4,32.2,33.0,21.9,21.5,16.685,15.708
전북특별자치도 - 여자 - 매우 여유있음,Statistics,1.8,0.2,1.4,,0.9,1.027,0.456
전북특별자치도 - 여자 - 약간  여유있음,Statistics,12.3,5.9,3.3,4.4,6.9,10.638,11.934
전북특별자치도 - 여자 - 약간 부족함,Statistics,37.4,43.7,38.2,42.4,44.0,37.016,42.338
전북특별자치도 - 여자 - 적정함,Statistics,35.2,18.0,24.0,31.3,26.7,34.635,29.564
제주특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
제주특별자치도 - 계 - 매우 부족함,Statistics,11.2,18.7,20.1,14.7,17.9,16.461,15.477
