item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
예산군 - 15 - 29세 - 고용률 (%),Statistics,34.3,39.0,35.4,33.3,28.8,36.7,34.0,40.7,38.0,46.5,46.2,54.1
예천군 - 15 - 29세 - 고용률 (%),Statistics,34.0,38.9,37.5,35.7,32.2,40.1,41.7,42.3,35.6,34.0,37.4,39.0
오산시 - 15 - 29세 - 고용률 (%),Statistics,42.3,45.6,45.7,40.4,41.8,43.2,46.6,41.4,43.5,47.4,50.3,47.8
옥천군 - 15 - 29세 - 고용률 (%),Statistics,28.6,37.5,35.4,41.1,41.5,37.8,43.3,39.6,35.1,42.6,43.8,44.2
완도군 - 15 - 29세 - 고용률 (%),Statistics,40.8,46.3,47.7,56.3,55.2,47.6,47.3,53.0,51.4,56.5,57.5,59.2
완주군 - 15 - 29세 - 고용률 (%),Statistics,26.6,27.5,30.8,31.7,30.6,26.8,26.6,26.9,28.4,27.8,38.6,37.0
용인시 - 15 - 29세 - 고용률 (%),Statistics,37.2,37.5,33.9,37.9,38.0,34.5,38.0,33.5,39.9,41.6,40.6,38.0
울릉군 - 15 - 29세 - 고용률 (%),Statistics,59.0,61.7,64.6,62.3,55.9,76.3,76.4,69.3,71.5,78.4,84.8,71.0
울산 남구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,36.2,38.0,40.6,38.3
울산 동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,30.9,34.7,37.9,37.8
울산 북구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,33.7,36.4,35.0,35.8
울산 울주군 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,32.9,38.7,31.0,30.3
울산 중구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,35.1,40.1,39.2,35.1
울진군 - 15 - 29세 - 고용률 (%),Statistics,36.5,35.2,42.8,31.4,40.5,42.5,42.2,50.4,41.2,50.8,42.3,51.4
원주시 - 15 - 29세 - 고용률 (%),Statistics,34.5,33.8,35.5,33.7,37.0,35.0,34.0,32.5,37.2,34.1,39.1,37.1
음성군 - 15 - 29세 - 고용률 (%),Statistics,44.7,45.5,44.1,49.9,54.8,50.0,54.0,54.4,58.3,52.4,51.2,51.1
의령군 - 15 - 29세 - 고용률 (%),Statistics,39.3,59.1,52.7,48.6,45.0,49.8,61.3,43.1,46.3,58.1,47.3,41.3
의성군 - 15 - 29세 - 고용률 (%),Statistics,34.3,37.6,49.3,63.7,47.3,43.8,53.5,40.6,42.4,52.2,48.8,44.9
의왕시 - 15 - 29세 - 고용률 (%),Statistics,35.7,35.5,34.0,38.4,35.5,39.9,39.0,35.8,40.1,42.0,42.4,42.2
의정부시 - 15 - 29세 - 고용률 (%),Statistics,35.1,38.3,39.4,38.3,37.4,39.2,44.8,38.4,38.4,42.5,46.6,48.1
이천시 - 15 - 29세 - 고용률 (%),Statistics,44.3,48.1,42.2,47.7,46.9,43.5,49.0,48.4,47.7,50.7,46.8,54.2
익산시 - 15 - 29세 - 고용률 (%),Statistics,26.1,24.2,23.7,26.9,26.8,25.2,27.9,28.4,25.7,30.7,33.0,31.1
인제군 - 15 - 29세 - 고용률 (%),Statistics,38.0,41.7,45.0,43.8,48.1,41.0,49.4,53.1,48.2,50.2,45.8,49.9
인천 강화군 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,36.7,41.3,41.8,40.5
인천 계양구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,43.0,44.8,47.7,48.2
인천 남동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,41.1,46.3,46.6,45.0
인천 동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,38.0,40.5,44.3,49.6
인천 미추홀구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,45.2,45.7,49.7,42.1
인천 부평구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,45.9,52.2,53.0,47.1
인천 서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,45.8,43.6,44.0,42.7
인천 연수구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,36.6,38.3,38.8,36.5
인천 옹진군 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,57.9,56.1,44.6,47.3
인천 중구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,41.4,44.1,51.6,48.6
임실군 - 15 - 29세 - 고용률 (%),Statistics,31.5,35.2,27.2,35.5,37.4,35.1,38.3,34.9,36.5,30.4,39.9,47.5
