item,category,2011,2013,2015,2017,2019,2021,2023
광주광역시 - 남자 - 관람함,Statistics,62.5,72.0,73.3,75.3,74.7,27.208,59.454
광주광역시 - 남자 - 관람횟수(평균),Statistics,7.8,8.5,9.1,8.9,8.4,4.417,6.361
광주광역시 - 여자 - - 기타,Statistics,,,,,,,0.318
광주광역시 - 여자 - - 무용,Statistics,1.8,2.3,3.0,1.5,2.8,1.675,3.305
광주광역시 - 여자 - - 문학행사,Statistics,,,,,,,10.85
광주광역시 - 여자 - - 미술관,Statistics,23.8,24.0,20.1,22.9,22.9,18.645,25.088
광주광역시 - 여자 - - 박물관,Statistics,23.2,30.0,26.8,24.2,25.5,14.582,26.754
광주광역시 - 여자 - - 스포츠 경기,Statistics,18.8,17.9,21.7,23.0,18.9,18.041,20.004
광주광역시 - 여자 - - 연극·마당극·뮤지컬,Statistics,23.1,19.0,19.3,19.9,19.0,10.936,15.08
광주광역시 - 여자 - - 영화,Statistics,84.1,86.4,90.9,89.9,91.4,66.327,78.821
광주광역시 - 여자 - - 음악·연주회·콘서트,Statistics,23.8,22.0,24.3,22.6,31.2,13.615,29.39
광주광역시 - 여자 - · 관람 횟수(평균),Statistics,2.3,2.2,2.5,2.6,2.4,1.845,1.548
광주광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 여자 - 관람함,Statistics,60.4,71.4,69.6,71.0,71.2,27.341,57.481
광주광역시 - 여자 - 관람횟수(평균),Statistics,8.1,8.8,9.0,9.3,8.3,3.966,6.284
대구광역시 - 계 - - 기타,Statistics,,,,,,,0.64
대구광역시 - 계 - - 무용,Statistics,1.3,1.7,1.1,1.7,1.1,1.844,1.352
대구광역시 - 계 - - 문학행사,Statistics,,,,,,,8.581
대구광역시 - 계 - - 미술관,Statistics,16.5,17.8,19.9,19.0,16.2,18.747,26.335
대구광역시 - 계 - - 박물관,Statistics,26.8,23.2,24.2,17.8,19.5,17.088,25.433
대구광역시 - 계 - - 스포츠 경기,Statistics,22.7,25.0,21.0,20.4,22.2,21.484,27.541
대구광역시 - 계 - - 연극·마당극·뮤지컬,Statistics,22.5,24.0,20.0,18.4,16.7,11.146,17.952
